SETTLEMENT,LHZ_CODE,DISTRICT,REGION,LHZ
aabaraka,16,Baydhaba,Bay,bay
aabdilleeenow,17,Wanla Weyn,Shabelle,rainfed
aadaliwiin,16,Buur Hakaba,Bay,bay
aaminey,16,Buur Hakaba,Bay,bay
aaminow,16,Baydhaba,Bay,bay
aaqoosh,16,Baydhaba,Bay,bay
aarag,16,Baydhaba,Bay,bay
aariyooda,17,Wanla Weyn,Shabelle Hoose,rainfed
aasho,16,Buur Hakaba,Bay,bay
aawdiinle,16,Baydhaba,Bay,bay
aawjika,16,Diinsoor,Bay,bay
aayaroy,16,Buur Hakaba,Bay,bay
abaarey,5,Gaalkacyo,Mudug,hawd
abaarso,3,Hargeysa,Woqooyi Galbeed,nw
abaasedhadheer,2,Borama,Awdal,west golis
abagbalow,16,Baydhaba,Bay,bay
abagguduud,16,Baydhaba,Bay,bay
abagle,16,Baydhaba,Bay,bay
abagsanhareeri,16,Baydhaba,Bay,bay
abagtag,16,Diinsoor,Bay,bay
abaqhaluul,16,Diinsoor,Bay,bay
abashiiq,17,Wanla Weyn,Shabelle Hoose,rainfed
abassegaagaab,2,Borama,Awdal,west golis
abdilealiyow,17,Wanla Weyn,Shabelle Hoose,rainfed
abdiyowarow,17,Wanla Weyn,Shabelle Hoose,rainfed
abduleisaq,17,Wanla Weyn,Shabelle Hoose,rainfed
abeeseemid,16,Baydhaba,Bay,bay
aboore,16,Baydhaba,Bay,bay
abooryoome,16,Buur Hakaba,Bay,bay
aboow,13,Luuq,Gedo,riverine
abrano,16,Baydhaba,Bay,bay
abtugay,16,Buur Hakaba,Bay,bay
abuqays,3,Borama,Awdal,nw
abuurow,16,Baydhaba,Bay,bay
abuurriin,3,Hargeysa,Woqooyi Galbeed,nw
adaanow,16,Buur Hakaba,Bay,bay
adanabokor,5,Hargeysa,Woqooyi Galbeed,hawd
adego,6,Qardho,Bari,nip
adenwaraabow,16,Baydhaba,Bay,bay
adeygaraar,16,Baydhaba,Bay,bay
adeyleyawmamo,17,Wanla Weyn,Shabelle Hoose,rainfed
adhicadeeye,6,LaasCaanood,Sool,nip
adiiki,16,Baydhaba,Bay,bay
adisoone,6,Qardho,Bari,nip
adoomow,16,Baydhaba,Bay,bay
adubleguure,16,Baydhaba,Bay,bay
afarirdood,16,Baydhaba,Bay,bay
afaryaaq,16,Baydhaba,Bay,bay
afaryag,16,Baydhaba,Bay,bay
afbarwaaqo,9,Hobyo,Mudug,addun
afineyn,5,Burco,Togdheer,hawd
afkalahaye,7,Caluula,Bari,east golis
aftugweyne,6,Eyl,Nugaal,nip
afurur,7,Laasqoray,Sanaag,east golis
