"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"1","24","3","0","0","0","0","0","0","0","0"
"2","24","4","1","0","0","0","0","1","0","0"
"3","24","3","1","0","0","0","0","0","0","0"
"4","24","8","2","0","0","0","0","0","0","0"
"5","24","9","0","1","0","0","0","0","0","0"
"6","24","4","0","0","0","0","0","0","0","0"
"7","24","3","0","0","0","0","0","0","0","0"
"8","24","3","1","0","0","0","0","1","0","0"
"9","24","4","2","0","0","0","0","0","0","0"
"10","24","6","0","1","0","0","0","0","0","0"
"11","24","7","3","0","0","0","0","0","0","0"
"12","24","3","0","1","0","6","0","0","0","0"
"13","24","9","1","0","0","1","0","0","0","0"
"14","24","3","1","0","0","0","0","0","0","0"
"15","24","7","0","0","2","0","0","0","0","0"
"16","24","4","1","0","1","0","0","1","0","0"
"17","24","7","0","0","1","0","0","0","0","0"
"18","24","8","2","0","0","0","0","0","0","0"
"19","24","11","0","0","0","0","0","0","0","0"
"20","24","2","0","0","0","0","0","0","0","0"
"1","21","6","2","0","0","1","0","0","0","0"
"2","21","10","1","0","0","0","0","0","0","0"
"3","21","15","0","3","0","0","0","0","0","0"
"4","21","4","1","0","0","1","0","0","0","0"
"5","21","5","1","0","0","1","0","0","0","0"
"6","21","4","2","0","0","0","1","0","0","0"
"7","21","6","1","0","0","0","0","0","0","0"
"8","21","7","0","0","0","0","0","0","0","0"
"9","21","5","1","0","0","0","0","1","0","0"
"10","21","8","2","0","0","1","0","0","0","0"
"11","21","4","0","0","0","1","1","0","0","0"
"12","21","2","1","0","0","1","0","1","0","0"
"13","21","3","0","0","0","0","0","0","0","0"
"14","21","8","0","0","0","0","0","0","0","0"
"15","21","5","0","1","0","0","0","0","0","0"
"16","21","3","1","0","0","0","0","0","0","0"
"17","21","6","1","0","0","0","0","0","0","0"
"18","21","5","2","0","0","0","0","0","0","0"
"19","21","6","1","0","0","0","0","1","0","0"
"20","21","7","0","0","0","0","0","0","0","0"
"1","22","5","2","0","0","1","0","0","1","0"
"2","22","4","1","1","0","0","0","1","0","0"
"3","22","9","1","0","0","1","1","0","0","0"
"4","22","3","1","0","0","0","0","1","0","0"
"5","22","8","2","0","0","0","0","0","0","0"
"6","22","4","0","0","0","0","0","0","0","0"
"7","22","4","1","0","0","0","0","0","0","0"
"8","22","4","0","0","0","1","0","0","0","0"
"9","22","3","0","0","2","0","0","0","0","0"
