"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"1","","8","2","0","0","3","0","1","0","0"
"2","","8","2","2","0","1","0","0","0","0"
"3","","4","1","0","0","0","0","0","0","0"
"4","","6","2","0","1","0","0","0","0","0"
"5","","5","2","1","0","2","0","0","0","0"
"6","","4","1","0","0","1","0","0","0","0"
"7","","7","0","2","0","0","0","0","0","0"
"8","","4","0","1","0","0","0","0","0","0"
"9","","5","1","2","0","1","0","0","0","0"
"10","","7","2","2","1","1","0","0","0","0"
"11","","3","0","0","0","1","0","0","0","0"
"12","","7","3","1","0","2","0","1","0","0"
"13","","8","1","0","0","0","0","0","0","0"
"14","","7","2","0","0","1","1","0","0","0"
"15","","8","2","1","0","1","0","0","0","0"
"16","","6","2","1","1","2","0","0","0","0"
"17","","3","1","0","0","0","0","0","0","0"
"18","","6","2","0","0","1","0","0","0","0"
"19","","9","3","1","1","1","0","0","0","0"
"20","","7","3","0","0","1","0","0","0","0"
"21","","5","1","1","0","1","0","0","0","0"
"22","","4","1","1","0","0","0","0","0","1"
"23","","9","1","0","0","2","0","0","0","0"
"24","","7","3","1","0","2","0","0","0","0"
"25","","3","2","0","0","0","0","0","1","0"
"26","","3","0","0","0","0","0","0","0","0"
"27","","3","1","0","0","0","0","0","0","0"
"28","","4","1","0","0","0","0","0","0","0"
"29","","4","2","0","0","0","0","0","0","0"
"30","","10","0","0","0","0","0","0","0","0"
"31","","6","3","0","0","0","0","0","0","0"
"32","","7","1","0","0","0","0","0","0","1"
"33","","5","2","0","0","0","0","0","0","0"
"34","","5","0","0","0","0","0","0","0","0"
"35","","6","1","0","0","0","0","0","0","0"
"36","","7","1","0","0","0","0","0","0","0"
"37","","5","2","0","0","0","0","0","0","0"
"38","","4","0","0","0","0","0","0","0","0"
"39","","3","1","0","0","0","0","0","0","0"
"40","","5","0","0","0","1","0","0","1","0"
"41","","6","3","0","0","0","0","1","0","0"
"42","","6","0","0","0","0","0","0","0","0"
"43","","5","1","0","0","0","0","0","0","0"
