"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"22","1","11","2","","0","0","0","0","0","0"
"21","1","4","1","","0","0","0","0","0","0"
"20","1","4","1","","0","0","0","0","0","0"
"19","1","4","1","","0","0","0","0","0","0"
"18","1","6","2","","0","0","0","0","0","0"
"17","1","2","1","","0","0","0","0","0","0"
"16","1","3","1","","0","0","0","0","0","0"
"14","1","3","1","","0","0","0","0","0","0"
"13","1","6","2","","0","0","0","0","0","0"
"15","1","7","3","","0","0","0","0","0","0"
"12","1","4","1","","0","0","0","0","0","0"
"11","1","7","2","","0","0","0","0","0","0"
"10","1","4","2","","0","0","0","0","0","0"
"9","1","11","3","","0","0","0","0","0","0"
"8","1","7","1","","0","0","0","0","0","0"
"7","1","3","2","","0","0","0","0","0","0"
"6","1","6","3","","0","0","0","0","0","0"
"4","1","6","0","","0","0","0","0","0","0"
"3","1","5","3","","0","1","0","0","0","0"
"2","1","8","3","","0","0","0","0","0","0"
"2","1","5","0","","0","1","0","0","0","0"
"3","1","8","3","","0","0","0","0","0","0"
"4","1","8","3","","0","0","0","0","0","0"
"5","1","8","2","","0","0","0","0","0","0"
"6","1","10","3","","0","0","0","0","0","0"
"7","1","8","3","","0","0","0","0","1","1"
"8","1","6","2","","0","0","0","0","0","0"
"9","1","8","3","","0","1","0","0","0","0"
"10","1","4","1","","0","0","0","0","0","0"
"11","1","5","0","","0","0","0","0","0","0"
"12","1","7","1","","0","0","0","0","0","0"
"14","1","9","2","","0","0","0","0","0","0"
"15","1","5","2","","0","0","0","0","0","0"
"16","1","3","1","","0","0","0","0","0","0"
"17","1","6","2","1","0","1","0","0","0","0"
"18","1","6","3","","0","0","0","0","0","0"
"19","1","3","0","","0","0","0","0","0","0"
"20","1","3","1","","0","0","0","0","0","0"
"21","1","5","0","","0","0","0","0","0","0"
"22","1","4","2","","0","0","0","0","0","0"
"24","1","6","3","","0","0","0","0","0","0"
"1","1","7","0","","0","1","0","0","0","0"
"2","1","9","3","","0","0","0","0","0","0"
"3","1","4","2","","0","0","0","0","0","0"
"4","1","7","2","","0","0","0","0","0","0"
"5","1","7","1","","0","0","0","0","0","0"
"6","1","7","1","","0","0","0","0","0","0"
"7","1","5","1","","0","0","0","0","0","0"
"8","1","6","3","","0","0","0","0","0","0"
"9","1","7","4","","0","0","0","0","0","0"
"10","1","9","3","","0","0","0","0","0","0"
"11","1","11","3","","0","0","0","0","0","0"
"12","1","7","3","","0","0","0","0","0","0"
"13","1","11","2","","0","0","0","0","0","0"
"14","1","5","2","","0","0","0","0","0","0"
"15","1","4","3","","0","0","0","0","1","1"
"17","1","4","2","","0","0","0","0","0","0"
"30","1","3","1","","0","0","0","0","0","0"
"29","1","7","3","","0","0","0","1","0","0"
"28","1","4","1","","0","0","0","0","0","0"
"27","1","6","3","","0","0","0","1","0","0"
"26","1","6","4","","0","0","0","0","0","0"
"25","1","9","3","","0","0","0","0","0","0"
"24","1","3","1","","0","0","0","0","0","0"
"23","1","10","2","","0","1","0","0","0","0"
"22","1","4","2","","0","0","0","1","1","1"
"21","1","6","3","","0","0","0","0","0","0"
"20","1","7","1","","0","0","0","0","0","0"
"19","1","7","2","","0","0","0","0","0","0"
"18","1","11","1","","0","0","0","0","0","0"
"17","1","4","2","","0","0","0","0","0","0"
"16","1","9","2","","0","0","0","0","0","0"
"15","1","10","2","","0","0","0","0","0","0"
"15","1","4","2","","0","0","0","0","0","0"
"13","1","4","1","","0","0","0","0","0","0"
"12","1","6","1","","0","0","0","0","0","0"
