"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"2001","7","3","1","0","0","0","0","0","0","0"
"2002","7","4","2","0","0","1","0","0","0","0"
"2003","7","5","0","0","0","1","0","0","0","0"
"2004","7","5","0","0","0","0","0","0","0","0"
"2005","7","10","4","0","0","0","0","1","0","0"
"2006","7","5","2","0","0","0","0","0","0","0"
"2007","7","7","3","0","0","0","0","0","0","0"
"2008","7","5","3","0","0","0","0","0","0","0"
"2009","7","6","0","0","0","0","0","0","0","0"
"2010","7","6","3","0","0","0","0","0","0","0"
"2011","7","5","0","0","0","0","0","0","0","0"
"2012","7","4","1","0","0","0","0","0","0","0"
"2013","7","4","0","0","0","0","0","0","0","0"
"2014","7","6","0","0","0","0","0","0","0","0"
"4001","8","5","0","0","0","2","0","0","0","0"
"4002","8","5","3","0","0","0","0","1","0","0"
"4003","8","7","3","0","0","0","0","0","0","0"
"4004","8","5","2","0","0","0","0","0","0","0"
"4005","8","3","0","0","0","0","0","0","0","0"
"4006","8","4","2","0","0","0","0","1","0","0"
"4007","8","5","2","0","0","0","0","0","0","0"
"4008","8","7","2","0","0","0","0","0","0","0"
"4009","8","6","0","0","0","0","0","0","0","0"
"4010","8","6","4","0","0","1","0","0","0","0"
"4011","8","4","0","0","0","0","0","0","0","0"
"4012","8","6","3","0","0","0","0","0","0","0"
"4013","8","4","0","0","0","0","0","0","0","0"
"4014","8","3","0","0","0","0","0","0","0","0"
"1001","1","6","2","0","0","0","0","0","0","0"
"1002","1","6","2","0","0","0","0","0","0","0"
"1003","1","6","3","0","0","0","0","0","0","0"
"1004","1","5","2","0","0","0","0","0","0","0"
"1005","1","4","2","0","0","0","0","0","0","0"
"1006","1","9","4","0","0","0","0","0","0","0"
"1007","1","9","3","0","0","0","0","0","0","0"
"1008","1","4","2","0","0","0","0","0","0","0"
"1009","1","3","1","0","0","0","0","0","0","0"
"1010","1","4","0","0","0","0","0","0","0","0"
"1011","1","5","0","0","0","0","0","0","0","0"
"1012","1","4","0","0","0","0","0","0","0","0"
"1013","1","3","0","0","0","0","0","0","0","0"
"1014","1","4","0","0","0","0","0","0","0","0"
"3001","27","7","2","0","0","0","0","0","0","0"
"3002","27","4","2","0","0","0","0","0","0","0"
"3003","27","4","0","0","0","0","0","0","0","0"
"3004","27","4","0","0","0","0","0","0","0","0"
"3005","27","6","2","0","0","0","0","0","0","0"
"3006","27","5","3","0","0","0","0","0","0","0"
"3007","27","6","4","0","0","0","0","0","0","0"
"3008","27","8","4","0","0","0","0","0","0","0"
"3009","27","5","0","0","0","0","0","0","0","0"
"3010","27","6","0","0","0","0","0","0","0","0"
"3011","27","6","0","0","0","0","0","0","0","0"
"3012","27","5","0","0","0","1","0","0","0","0"
"3013","27","8","0","0","0","0","0","0","0","0"
"3014","27","6","4","0","0","0","0","0","0","0"
"4015","9","5","0","0","0","0","0","0","0","0"
"4016","9","6","3","0","0","0","0","0","0","0"
"4017","9","4","0","0","0","0","0","0","0","0"
"4018","9","4","0","0","0","0","0","0","0","0"
"4019","9","6","3","0","0","0","0","0","0","0"
"4020","9","5","3","0","0","0","0","0","0","0"
"4021","9","6","3","0","0","0","0","0","0","0"
"4022","9","6","2","0","0","0","0","0","0","0"
"4023","9","5","0","0","0","0","0","0","0","0"
"4024","9","6","2","0","0","0","0","0","0","0"
"4025","9","4","0","0","0","0","0","0","0","0"
"4026","9","6","0","0","0","0","0","0","0","0"
"4027","9","7","3","0","0","0","0","0","0","0"
"4028","9","5","3","0","0","0","0","0","0","0"
"2015","12","8","1","0","0","0","0","0","0","0"
"2016","12","7","3","0","0","0","0","0","0","0"
"2017","12","3","0","0","0","0","0","0","0","0"
"2018","12","5","2","0","0","0","0","0","0","0"
"2019","12","6","0","0","0","0","0","0","0","0"
"2020","12","8","3","0","0","0","0","0","0","0"
"2021","12","5","0","0","0","0","0","0","0","0"
"2022","12","7","3","0","0","0","0","1","0","0"
"2023","12","4","0","0","0","0","0","1","0","0"
"2024","12","5","2","0","0","0","0","0","0","0"
"2025","12","4","0","0","0","0","0","0","0","0"
"2026","12","6","3","0","0","0","0","0","0","0"
"2027","12","3","0","0","0","0","0","0","0","0"
"2028","12","3","0","0","0","0","0","0","0","0"
"3015","28","5","3","0","0","1","0","0","0","0"
"3016","28","6","3","0","0","0","0","0","1","0"
"3017","28","6","3","0","0","0","0","0","0","0"
"3018","28","5","0","0","0","0","0","0","0","0"
"3019","28","4","0","0","0","1","0","0","0","0"
"3020","28","6","2","0","0","0","0","0","0","0"
"3021","28","5","0","0","0","0","0","0","1","0"
"3022","28","8","0","0","0","2","0","0","0","0"
"3023","28","6","0","0","0","0","0","0","0","0"
"3024","28","6","3","0","0","0","0","0","0","0"
"3025","28","4","2","0","0","0","0","0","0","0"
"3026","28","5","3","0","0","0","0","0","0","0"
"3027","28","7","0","0","0","0","0","0","0","0"
"3028","28","4","0","0","0","0","0","0","0","0"
"1015","2","4","2","0","0","0","0","0","0","0"
"1016","2","4","1","0","0","0","0","0","0","0"
"1017","2","6","2","0","0","0","0","0","0","0"
"1018","2","5","3","0","0","0","0","0","0","0"
"1019","2","6","0","0","0","0","0","0","0","0"
"1020","2","5","3","0","0","0","0","0","0","0"
"1021","2","6","2","0","0","0","0","0","0","0"
"1022","2","8","3","0","0","0","0","0","0","0"
"1023","2","5","3","0","0","0","0","0","0","0"
"1024","2","3","0","0","0","0","0","0","0","0"
"1025","2","5","0","0","0","0","0","0","0","0"
"1026","2","4","0","0","0","0","0","0","0","0"
"1027","2","5","0","0","0","0","0","0","0","0"
"1028","2","4","0","0","0","0","0","0","0","0"
"1029","3","4","2","0","0","0","0","0","0","0"
"1030","3","5","2","0","0","0","0","0","0","0"
"1031","3","5","2","0","0","0","0","0","0","0"
"1032","3","5","1","0","0","0","0","0","0","0"
"1033","3","9","3","0","0","0","0","0","0","0"
"1034","3","6","4","0","0","0","0","0","0","0"
"1035","3","5","3","0","0","0","0","0","0","0"
"1036","3","3","1","0","0","0","0","0","0","0"
"1037","3","4","0","0","0","0","0","0","0","0"
"1038","3","7","0","0","0","0","0","0","0","0"
"1039","3","5","0","0","0","0","0","0","0","0"
"1040","3","3","0","0","0","0","0","0","0","0"
"1041","3","4","0","0","0","0","0","0","0","0"
"1042","3","2","0","0","0","0","0","0","0","0"
"3029","29","6","3","0","0","0","0","0","0","0"
"3030","29","7","4","0","0","0","0","0","0","0"
"3031","29","4","0","0","0","1","0","0","0","0"
"3032","29","6","0","0","0","2","0","0","0","0"
"3033","29","5","1","0","0","0","0","0","0","0"
"3034","29","4","2","0","0","0","0","0","0","0"
