"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"6017","17","5","2","0","0","0","0","0","0","0"
"6018","16","4","0","0","0","0","0","0","0","0"
"6019","","3","0","0","0","0","0","0","0","0"
"6020","","5","2","0","0","0","0","0","0","0"
"6021","","4","0","0","0","0","0","0","0","0"
"6022","16","4","2","0","0","0","0","0","0","0"
"6023","16","5","0","0","0","0","0","0","0","0"
"6024","16","8","0","0","0","0","0","0","0","0"
"6025","16","2","0","0","0","0","0","0","0","0"
"6026","","7","2","0","0","0","0","0","0","0"
"6027","17","4","2","0","0","0","0","0","0","0"
"6028","16","5","3","0","0","0","0","0","0","0"
"6029","16","0","0","0","0","0","0","0","0","0"
"6030","","5","3","0","0","0","0","0","0","0"
"6031","","4","2","0","0","0","0","0","0","0"
"6032","16","7","0","0","0","0","0","0","0","0"
"5017","19","6","2","0","0","1","0","0","0","0"
"5018","19","4","2","0","0","0","0","0","0","0"
"5019","19","5","0","0","0","0","0","0","0","0"
"5020","19","6","3","0","0","0","0","0","0","0"
"5021","19","8","1","0","0","0","0","0","0","0"
"5022","19","3","0","0","0","1","0","0","0","0"
"5023","18","5","0","0","0","0","0","0","0","0"
"5024","19","4","2","0","0","0","0","0","0","0"
"5025","19","4","2","0","0","0","0","0","0","0"
"5026","19","3","1","0","0","0","0","0","0","0"
"5027","19","5","1","0","0","0","0","0","0","0"
"5028","19","7","3","0","0","0","0","0","0","0"
"5029","19","6","2","1","0","0","0","0","0","0"
"5030","19","6","0","0","0","1","0","0","0","0"
"5031","19","6","0","0","0","0","0","0","0","0"
"5032","19","7","3","0","0","0","0","0","0","0"
"17","6","6","2","0","0","0","0","0","0","1"
"18","7","1","0","0","0","0","0","0","0","0"
"19","7","10","1","0","0","1","0","0","0","0"
"20","7","5","2","0","0","0","0","0","0","0"
"21","7","5","2","0","0","0","0","0","0","0"
"22","7","5","0","0","0","0","0","0","0","0"
"23","7","7","1","0","0","0","0","0","0","0"
"24","7","7","1","0","0","0","0","0","0","0"
"25","7","10","3","0","0","0","0","0","0","0"
"26","7","5","3","0","0","0","0","0","0","0"
"27","7","8","2","0","0","0","0","0","0","0"
"28","7","8","4","0","0","0","0","1","0","0"
