"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"1","24","7","2","0","0","0","0","0","0","0"
"2","24","7","2","0","0","0","0","0","0","0"
"3","24","5","6","2","0","0","0","0","0","0"
"4","24","8","1","1","0","0","0","0","1","1"
"5","24","7","1","0","0","0","0","0","0","0"
"6","24","7","1","0","0","0","0","0","0","0"
"7","24","4","2","0","0","0","0","0","0","0"
"8","24","3","1","0","0","0","1","0","0","0"
"9","24","7","1","0","0","0","0","0","0","0"
"10","24","5","2","0","0","0","0","0","0","0"
"11","24","9","4","0","0","0","0","0","0","0"
"12","24","6","3","0","0","0","0","0","0","0"
"13","24","6","2","1","0","0","0","0","0","0"
"14","24","4","2","1","0","0","0","0","0","0"
"15","24","7","2","0","0","1","0","0","0","0"
"16","24","7","2","0","0","0","0","0","0","0"
"17","24","4","1","0","0","1","0","0","0","0"
"18","24","3","1","0","0","0","0","0","0","0"
"19","14","6","3","1","0","0","0","0","0","0"
"20","14","7","3","2","0","0","0","0","0","0"
"21","14","6","3","1","0","1","0","1","0","0"
"22","14","4","2","0","0","0","0","0","0","0"
"23","14","10","2","2","0","0","0","0","0","0"
"24","14","7","3","2","0","0","0","0","0","0"
"25","14","7","2","2","0","0","0","0","0","0"
"26","14","9","2","0","0","0","0","0","1","1"
"27","14","10","4","1","0","1","0","1","0","0"
"28","14","9","3","0","0","0","0","1","0","0"
"29","14","6","1","1","0","1","0","0","0","0"
"30","14","4","2","0","0","1","0","0","0","0"
"31","14","9","1","3","0","0","0","0","0","0"
"32","14","5","1","0","0","0","0","0","0","0"
"33","14","7","3","0","0","0","0","0","0","0"
"34","14","10","2","2","0","0","0","0","0","0"
"35","14","6","2","0","0","0","0","0","0","0"
"36","14","7","2","0","0","0","0","0","0","0"
"37","14","8","3","1","0","0","0","0","0","0"
"38","8","7","1","0","0","0","0","0","0","0"
"39","8","9","2","2","0","0","0","0","0","0"
"40","8","6","1","0","0","4","0","0","0","0"
"41","8","7","2","0","0","0","0","0","0","0"
"42","8","7","0","0","0","1","0","0","0","0"
"43","8","2","1","0","0","0","0","0","0","0"
"44","8","2","1","0","0","0","0","0","0","0"
"45","8","5","1","0","0","0","0","0","0","0"
"46","8","8","0","7","0","0","0","0","0","0"
"47","8","5","3","0","0","0","0","1","0","0"
"48","8","8","0","0","0","0","0","0","0","0"
"49","8","8","3","0","0","0","0","0","0","0"
"50","8","5","0","0","0","0","0","0","0","0"
"51","8","12","2","0","0","0","0","0","0","0"
"52","8","6","2","0","0","0","0","0","0","0"
"53","8","5","1","0","0","0","0","0","0","0"
"54","8","4","1","0","0","0","0","0","0","0"
"55","8","5","3","0","0","0","0","0","0","0"
"56","8","8","3","0","0","0","0","0","0","0"
"57","27","7","2","0","0","0","0","0","0","0"
"58","27","5","0","1","0","0","0","0","0","0"
"59","27","8","1","0","0","0","0","0","0","0"
"60","27","7","1","0","0","0","0","0","0","0"
"61","27","10","2","3","0","0","0","0","0","0"
"62","27","9","2","0","0","0","0","0","0","0"
"63","27","12","3","1","0","0","0","0","0","0"
"64","27","6","1","0","0","1","0","0","0","0"
"65","27","7","1","0","0","0","0","0","0","0"
"66","27","3","0","0","0","0","0","0","0","0"
"67","27","3","0","0","0","0","0","0","0","0"
"68","27","6","2","0","0","0","0","0","0","0"
"69","27","3","1","0","0","0","0","0","0","0"
"70","27","6","3","0","0","0","0","0","0","0"
"71","27","8","2","1","0","0","0","0","0","0"
"72","27","6","2","0","0","0","0","0","0","0"
"73","27","12","3","0","0","0","0","0","0","0"
"74","27","2","0","0","0","0","0","0","0","0"
"75","26","5","1","1","0","0","0","0","0","0"
"76","26","6","3","0","0","0","0","0","0","0"
"77","26","5","2","1","0","1","0","0","0","0"
"78","26","7","4","1","0","0","0","1","0","0"
"79","26","5","0","1","0","0","0","0","0","0"
"80","26","5","2","1","0","0","0","0","0","0"
"81","26","6","3","0","0","1","0","0","0","0"
"82","26","6","2","0","0","1","0","0","0","0"
"83","26","5","3","0","0","0","0","0","0","0"
"84","26","5","3","0","0","0","0","1","0","0"
"85","26","8","3","1","0","0","0","0","0","0"
"86","26","6","3","1","0","1","0","0","0","0"
"87","26","6","3","0","0","0","0","0","0","0"
"88","26","7","3","1","0","1","0","0","0","0"
"89","26","4","2","0","0","0","0","0","0","0"
"90","26","8","3","2","0","1","0","1","0","0"
"91","26","6","3","1","0","1","0","0","0","0"
"92","26","8","3","1","0","0","0","0","0","0"
"93","28","1","0","0","0","0","0","0","0","0"
"94","28","9","3","0","0","0","0","1","0","0"
"95","28","8","1","0","0","0","0","0","0","0"
"96","28","5","2","0","0","0","0","0","0","0"
"97","28","5","2","0","0","0","0","0","0","0"
"98","28","2","1","0","0","0","0","0","0","0"
"99","28","8","1","0","0","0","0","0","0","0"
"100","28","10","3","0","0","1","0","0","0","0"
"101","28","9","2","0","0","0","0","0","0","0"
"102","28","5","2","0","0","0","0","0","0","0"
"103","28","5","2","0","0","0","0","0","0","0"
"104","28","3","1","0","0","0","0","0","0","0"
"105","28","5","3","0","0","0","0","0","0","0"
"106","28","5","1","0","0","0","0","0","0","0"
"107","28","7","2","1","0","0","0","0","0","0"
"108","28","5","2","0","0","0","0","0","0","0"
"109","28","5","1","0","0","0","0","0","0","0"
"110","28","6","2","1","0","0","0","0","0","0"
"111","10","6","2","0","0","0","0","1","0","0"
"112","10","8","3","2","0","1","0","0","0","0"
"113","10","6","1","0","1","0","0","0","0","0"
"114","10","4","0","1","0","0","0","0","0","0"
"115","10","3","1","0","0","0","0","1","1","0"
"116","10","5","2","1","0","1","0","0","0","0"
"117","10","4","2","0","0","0","0","0","0","0"
"118","10","9","3","1","0","0","0","0","0","0"
"119","10","7","2","1","0","0","0","0","0","0"
"120","10","7","2","1","0","0","0","0","0","0"
"121","10","12","3","1","0","0","0","0","0","0"
"122","10","8","3","1","0","0","0","0","0","0"
"123","10","6","3","0","0","1","0","0","0","0"
"124","10","7","2","1","0","0","0","0","0","0"
"125","10","4","2","0","0","0","0","0","0","0"
"126","10","5","2","1","0","0","0","0","0","0"
"127","10","5","2","1","0","0","0","0","0","0"
"128","10","9","2","1","0","0","0","0","0","0"
"129","25","9","2","0","0","0","0","0","0","0"
"130","25","5","2","0","0","0","0","0","0","0"
"131","25","6","2","0","0","0","0","0","0","0"
"132","25","4","0","0","0","0","0","0","0","0"
"133","25","5","2","0","0","0","0","0","0","0"
"134","25","5","0","0","0","0","0","0","0","0"
"135","25","8","3","0","0","0","0","1","0","0"
"136","25","3","1","0","0","0","0","1","0","0"
"137","25","4","2","0","0","0","0","0","0","0"
"138","25","9","3","0","0","0","0","0","0","0"
"139","25","8","2","0","0","0","0","0","0","0"
"140","25","7","3","0","0","0","0","0","0","0"
"141","25","8","4","0","0","0","0","0","0","0"
"142","25","3","1","0","0","0","0","1","0","0"
"143","25","12","3","0","0","0","0","1","0","0"
"144","25","12","3","0","0","0","0","0","0","0"
"145","25","10","2","0","0","0","0","0","0","0"
"146","25","9","1","0","0","0","0","0","0","0"
"147","11","5","3","0","0","1","0","1","0","0"
"148","11","6","3","1","0","1","0","0","0","0"
"149","11","5","1","0","0","0","0","0","0","0"
"150","11","5","2","0","0","1","1","0","0","0"
