"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"1","1","6","3","0","0","0","0","0","0","0"
"2","1","3","2","0","0","0","0","0","0","0"
"3","1","7","1","0","0","0","0","0","0","0"
"4","1","6","0","0","0","0","0","0","0","0"
"5","1","4","2","0","0","0","0","0","0","0"
"6","1","5","2","0","0","0","0","0","0","0"
"7","1","3","0","0","0","0","0","0","0","0"
"8","1","5","1","0","0","0","0","0","0","0"
"9","1","6","1","0","0","0","0","0","0","0"
"10","1","6","1","0","0","0","0","0","0","0"
"11","1","5","0","0","0","0","0","0","0","0"
"12","1","4","1","0","0","0","0","0","0","0"
"13","1","4","2","0","0","0","0","0","0","0"
"14","1","6","2","0","0","0","0","0","0","0"
"15","1","5","2","0","0","0","0","0","0","0"
"16","1","5","2","0","0","0","0","0","0","0"
"17","1","11","0","0","0","1","0","0","0","0"
"18","1","3","2","0","0","0","0","0","0","0"
"1","2","4","2","0","0","0","0","0","0","0"
"2","2","5","1","0","0","3","0","0","0","0"
"3","2","4","1","0","0","0","0","0","0","0"
"4","2","5","2","0","0","0","0","0","0","0"
"5","2","2","1","0","0","0","0","0","0","0"
"6","2","7","2","2","0","0","0","0","0","0"
"7","2","4","2","0","0","0","0","0","0","0"
"8","2","4","1","0","0","0","0","0","0","0"
"9","2","9","1","1","0","0","0","0","0","0"
"10","2","5","1","0","0","0","0","0","0","0"
"11","2","7","1","0","0","0","0","0","0","0"
"12","2","5","2","0","0","0","0","0","0","0"
"13","2","5","1","0","0","0","0","0","0","0"
"14","2","4","1","0","0","0","0","0","0","0"
"15","2","4","1","0","0","0","0","0","0","0"
"16","2","6","1","0","0","0","0","0","0","0"
"17","2","7","0","0","0","0","0","0","0","0"
"18","2","9","4","0","0","0","0","0","0","0"
"1","3","8","3","0","0","1","0","0","0","0"
"2","3","5","0","0","0","0","0","0","0","0"
"3","3","6","1","0","0","0","0","0","0","0"
"4","3","6","1","0","0","0","0","0","0","0"
"5","3","4","1","0","0","0","0","0","0","0"
"6","3","5","1","0","0","1","0","0","0","0"
"7","3","3","1","0","0","0","0","0","0","0"
"8","3","8","1","0","0","0","0","0","0","0"
"9","3","8","1","0","0","0","0","0","0","0"
"10","3","4","2","0","0","0","0","0","0","0"
"11","3","8","2","0","0","0","0","0","0","0"
"12","3","3","2","0","0","1","0","0","0","0"
"13","3","5","1","0","0","1","1","0","0","0"
"14","3","5","1","0","0","1","0","0","0","0"
"15","3","5","1","0","0","0","0","0","0","0"
"16","3","5","0","0","0","0","0","0","0","0"
"17","3","5","0","0","0","0","0","0","0","0"
"18","3","5","0","0","0","0","0","0","2","1"
"1","4","4","2","0","0","0","0","1","0","0"
"2","4","6","1","0","0","0","0","0","0","0"
"3","4","5","2","0","0","0","0","0","0","0"
"4","4","3","1","0","0","0","0","0","0","0"
"5","4","7","0","0","0","0","0","0","0","0"
"6","4","4","2","0","0","0","0","0","0","0"
"7","4","5","1","0","0","0","0","0","0","0"
"8","4","4","1","0","0","0","0","0","0","0"
"9","4","4","0","0","0","0","0","0","0","0"
"10","4","6","2","0","0","0","0","0","0","0"
"11","4","4","1","0","0","0","0","0","0","0"
"12","4","3","1","0","0","0","0","1","0","0"
"13","4","1","0","0","0","0","0","0","0","0"
"14","4","5","2","0","0","0","0","0","0","0"
"15","4","3","1","0","0","0","0","1","0","0"
"16","4","6","0","0","0","0","0","0","0","0"
"17","4","2","0","0","0","0","0","0","0","0"
"18","4","7","0","0","0","0","0","0","0","0"
"1","5","6","2","0","0","0","0","0","0","0"
"2","5","9","3","0","0","0","0","0","0","0"
"3","5","2","1","0","0","0","0","0","0","0"
"4","5","3","1","0","0","0","0","0","0","0"
"5","5","2","1","0","0","0","0","0","0","0"
"6","5","3","0","0","0","0","0","0","0","0"
"7","5","6","2","0","0","1","1","0","0","0"
"8","5","5","3","0","0","0","0","0","0","0"
"9","5","5","1","0","0","0","0","0","0","0"
"10","5","7","0","0","0","0","0","0","0","0"
"11","5","7","1","2","0","0","0","0","0","0"
"12","5","6","2","0","0","0","0","0","0","0"
"13","5","8","0","0","0","0","0","0","0","0"
"14","5","5","0","0","0","0","0","0","0","0"
"15","5","6","1","0","0","1","0","1","0","0"
"16","5","3","1","0","0","0","0","0","0","0"
"17","5","11","3","0","0","1","0","1","0","0"
"18","5","5","0","0","0","0","0","0","0","0"
"1","6","4","0","0","0","0","0","0","0","0"
"2","6","5","2","0","0","0","0","0","0","0"
"3","6","6","1","0","0","0","0","0","0","0"
"4","6","11","3","0","0","0","0","1","0","0"
"5","6","9","3","0","0","0","0","1","0","0"
"6","6","5","0","0","0","0","0","0","0","0"
"7","6","4","2","1","0","0","0","0","0","0"
"8","6","3","1","0","0","0","0","0","0","0"
"9","6","11","3","0","0","0","0","0","0","0"
"10","6","11","3","0","0","0","0","0","0","0"
"11","6","11","4","0","0","0","0","0","0","0"
"12","6","6","3","0","0","0","0","1","0","0"
"13","6","8","3","0","0","0","0","1","0","0"
"14","6","8","2","0","0","0","0","0","0","0"
"15","6","7","0","0","0","1","0","0","0","0"
"16","6","7","3","0","0","0","0","1","0","0"
"17","6","4","2","0","0","0","0","0","0","0"
"18","6","12","3","0","0","0","0","0","0","0"
"1","7","5","3","0","0","0","0","1","0","0"
"2","7","9","2","0","0","0","0","0","0","0"
"3","7","11","4","1","0","0","0","0","0","0"
"4","7","6","0","0","0","0","0","0","0","0"
"5","7","7","1","0","0","0","0","1","0","0"
"6","7","5","2","0","0","0","0","0","0","0"
"7","7","6","1","0","0","0","0","0","0","0"
"8","7","4","1","0","0","0","0","0","0","0"
"9","7","6","2","0","0","0","0","1","0","0"
"10","7","8","4","0","0","0","0","0","0","0"
"11","7","8","2","2","0","0","0","0","0","0"
"12","7","4","1","0","0","0","0","0","0","0"
"13","7","5","3","0","0","0","0","0","0","0"
"14","7","7","1","0","0","0","0","0","0","0"
"15","7","6","1","0","0","1","0","0","0","0"
"16","7","4","1","0","0","0","0","0","0","0"
"17","7","6","0","0","0","0","0","0","0","0"
"18","7","3","1","0","0","0","0","0","0","0"
"1","8","3","0","0","0","1","0","0","0","0"
"2","8","6","1","0","0","0","0","0","0","0"
"3","8","6","2","0","0","0","0","1","0","0"
"4","8","12","0","2","0","0","0","0","0","0"
"5","8","8","2","0","0","0","0","0","0","0"
"6","8","8","1","0","0","0","0","0","0","0"
"7","8","6","2","0","0","0","0","0","0","0"
"8","8","4","0","0","0","0","0","0","0","0"
"9","8","3","2","0","0","0","0","0","0","0"
"10","8","8","3","0","0","0","0","1","0","0"
"11","8","11","3","2","0","0","0","0","0","0"
"12","8","7","3","0","0","0","0","1","0","0"
"13","8","6","1","0","0","0","0","0","0","0"
"14","8","9","2","0","0","0","0","0","0","0"
"15","8","6","2","0","0","0","0","0","0","0"
"16","8","4","0","0","0","1","0","0","0","0"
"17","8","5","1","0","0","0","0","0","0","0"
"18","8","6","1","0","0","0","0","0","0","0"
"1","9","6","2","0","0","0","0","0","0","0"
"2","9","6","3","0","0","0","0","0","0","0"
"3","9","5","1","0","0","0","0","0","0","0"
"4","9","5","2","0","0","1","0","0","0","0"
"5","9","7","2","1","0","0","0","0","0","0"
"6","9","6","1","0","0","1","0","0","0","0"
"7","9","9","2","0","0","0","0","0","0","0"
"8","9","10","3","1","0","0","0","0","0","0"
"9","9","8","3","0","0","0","0","0","0","0"
"10","9","6","2","0","0","0","0","0","0","0"
"11","9","4","0","0","0","0","0","0","0","0"
"12","9","6","1","0","0","0","0","0","0","0"
"13","9","6","1","0","0","0","0","0","0","0"
"14","9","8","2","0","0","0","0","0","0","0"
"15","9","6","2","0","0","0","0","0","0","0"
"16","9","6","0","0","0","0","0","0","0","0"
