"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"1","9","3","0","0","0","0","0","0","0","0"
"2","9","6","4","0","0","0","0","0","0","0"
"3","9","4","0","0","0","0","0","0","0","0"
"4","9","8","1","0","0","0","0","0","0","0"
"5","9","3","1","0","0","0","0","0","0","0"
"6","9","10","3","0","0","0","0","0","0","0"
"7","9","2","0","0","0","0","0","0","0","0"
"8","9","3","1","0","0","0","0","0","0","0"
"9","9","4","0","0","0","0","0","0","0","0"
"10","9","10","3","0","0","0","0","0","0","0"
"1","1","3","0","0","0","0","0","0","0","0"
"2","1","10","2","0","0","0","0","0","0","0"
"3","1","10","2","0","0","1","0","0","0","0"
"4","1","4","0","0","0","0","0","0","0","0"
"5","1","14","3","5","3","0","0","0","0","0"
"6","1","6","0","0","0","0","0","0","0","0"
"7","1","9","2","0","0","0","0","0","0","0"
"8","1","8","2","0","0","0","0","0","0","0"
"9","1","9","0","0","0","0","0","0","0","0"
"10","1","5","0","1","0","0","0","0","0","0"
"1","15","4","1","0","0","1","0","0","0","0"
"2","15","3","1","0","0","0","0","0","0","0"
"3","15","3","1","0","0","0","0","0","0","0"
"4","15","4","0","0","0","0","0","0","0","0"
"5","15","5","2","0","0","3","1","0","0","0"
"6","15","4","2","3","0","0","0","0","0","0"
"7","15","7","2","0","0","0","0","0","0","0"
"8","15","3","1","0","0","2","0","0","0","0"
"9","15","3","1","0","0","0","0","0","0","0"
"10","15","4","0","0","0","0","0","0","0","0"
"1","10","5","1","0","0","0","0","0","0","0"
"2","10","4","1","0","0","0","0","0","0","0"
"3","10","6","0","0","0","0","0","0","0","0"
"4","10","8","2","0","0","0","0","0","0","0"
"5","10","7","2","0","0","0","0","0","0","0"
"6","10","3","1","0","0","0","0","0","0","0"
"7","10","4","0","0","0","0","0","0","0","0"
"8","10","3","1","0","0","0","0","0","0","0"
"9","10","2","0","0","0","0","0","0","0","0"
"10","10","4","1","0","0","0","0","0","0","0"
"1","16","2","0","0","0","0","0","0","0","0"
"2","16","5","3","0","0","0","0","0","0","0"
"3","16","7","3","0","0","0","0","0","0","0"
"4","16","6","0","0","0","0","0","0","0","0"
"5","16","4","0","0","0","0","0","0","0","0"
"6","16","6","0","0","0","0","0","0","0","0"
"7","16","3","1","0","0","0","0","0","0","0"
"8","16","2","0","0","0","0","0","0","0","0"
"9","16","2","1","0","0","0","0","0","0","0"
"10","16","4","1","0","0","0","0","0","0","0"
"1","2","5","2","0","0","1","0","0","0","0"
"2","2","4","1","0","0","0","0","0","0","0"
"3","2","3","0","0","0","2","0","0","0","0"
"4","2","5","1","0","0","0","0","0","0","0"
"5","2","5","2","0","0","0","0","0","0","0"
"6","2","9","1","0","0","0","0","0","1","0"
"7","2","8","0","0","0","0","0","0","0","0"
