"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"7","30","3","0","0","0","0","0","0","0","0"
"5","30","4","0","0","0","0","0","0","0","0"
"6","30","5","0","0","0","0","0","0","0","0"
"17","30","2","0","0","0","0","0","0","0","0"
"5","30","0","0","0","0","1","0","0","1","0"
"3","30","4","0","0","0","0","0","0","0","0"
"7","30","4","1","0","0","0","0","0","0","0"
"8","24","3","0","0","0","0","0","0","0","0"
"10","30","3","0","1","0","0","0","0","0","0"
"11","30","3","1","0","0","0","0","0","0","0"
"12","3","1","0","0","0","0","0","0","0","0"
"14","30","7","0","0","0","0","0","0","0","0"
"13","30","5","1","0","0","0","0","0","0","0"
"15","30","5","2","0","0","0","0","0","0","0"
"16","30","3","1","0","0","0","0","0","0","0"
"4","1","3","1","0","0","0","0","0","0","0"
"10","1","8","2","1","1","0","0","0","0","0"
"11","1","4","1","0","0","0","0","0","0","0"
"6","1","3","1","0","0","1","0","0","0","0"
"13","1","8","2","0","0","0","0","0","0","0"
"3","1","8","1","1","0","0","0","0","0","0"
"15","6","1","1","0","0","0","0","0","0","0"
"9","1","3","2","0","0","0","0","0","0","0"
"7","1","7","3","0","0","0","0","0","0","0"
"2","27","6","2","2","0","0","0","0","0","0"
"2","1","4","0","0","0","1","0","0","0","0"
"8","1","3","0","0","0","3","0","0","0","0"
"13","1","6","1","0","0","0","0","0","0","0"
"10","1","4","1","0","0","0","0","0","0","0"
"9","1","7","3","0","0","0","0","1","0","0"
"7","1","2","0","0","0","0","0","0","0","0"
"4","1","3","1","0","0","4","0","0","0","0"
"3","1","8","1","0","0","2","0","0","0","0"
"1","5","6","1","0","0","1","0","0","0","0"
"2","5","9","2","0","0","0","0","0","0","0"
"6","5","5","3","0","0","0","0","0","0","0"
"12","5","5","2","0","0","0","0","0","0","0"
"5","5","6","1","0","0","0","0","0","0","0"
"4","5","9","1","0","0","0","0","0","0","0"
"8","5","5","2","0","0","0","0","0","0","0"
"9","24","3","0","0","0","0","0","0","0","0"
"10","24","8","1","0","0","0","0","0","0","0"
"7","24","3","0","1","0","0","0","0","0","0"
"6","24","2","0","0","0","0","0","0","0","0"
"5","24","4","0","1","0","0","0","0","0","0"
"3","24","8","2","1","0","0","0","0","0","0"
"2","24","5","2","0","0","0","0","0","0","0"
"1","24","4","2","0","0","0","0","0","0","0"
"15","24","8","1","0","0","0","0","0","0","0"
"14","24","8","2","0","0","1","0","0","0","0"
"11","24","2","0","0","0","0","0","0","0","0"
"1","15","6","2","0","0","0","0","0","0","0"
"2","15","5","1","0","0","0","0","0","0","0"
"3","15","8","3","0","0","0","0","0","0","0"
"4","15","6","2","0","0","0","0","0","0","0"
"5","15","8","1","0","0","0","0","0","0","0"
"6","15","7","1","0","0","0","0","0","0","0"
"7","15","5","0","0","0","0","0","0","0","0"
"8","15","5","1","0","0","0","0","0","0","0"
"9","15","6","2","0","0","0","0","0","0","0"
"12","15","4","2","0","0","0","0","0","0","0"
"11","15","12","3","0","0","0","0","0","0","0"
"10","15","3","1","0","0","0","0","0","0","0"
"16","15","3","1","0","0","0","0","0","0","0"
"15","15","5","4","0","0","0","0","1","0","0"
"14","15","5","3","0","0","0","0","0","0","0"
"13","15","5","2","0","0","0","0","0","0","0"
"15","2","5","2","1","0","0","0","0","0","0"
"11","2","7","1","0","0","0","0","0","0","0"
"10","2","4","2","0","0","1","0","0","0","0"
"13","2","4","1","1","0","1","0","0","0","0"
"5","2","6","2","0","0","0","0","0","0","0"
"4","2","6","3","0","0","0","0","0","0","0"
"11","2","10","1","0","0","0","0","0","0","0"
"7","2","13","1","3","0","0","0","0","0","0"
"6","2","5","1","0","0","0","0","0","0","0"
"2","2","3","1","0","0","1","0","0","0","0"
"1","2","5","1","0","0","0","0","0","0","0"
"14","27","6","2","0","0","0","0","0","0","0"
"1","27","6","2","0","0","0","0","0","0","0"
"3","27","7","3","0","0","0","0","0","0","0"
"4","27","9","3","1","0","0","0","0","0","0"
"5","27","5","1","0","0","1","0","0","0","0"
"6","27","3","0","0","0","0","0","0","0","0"
"12","27","10","2","0","0","0","0","1","0","0"
"11","27","8","1","0","0","0","0","0","0","0"
"9","27","6","1","0","0","0","0","0","0","0"
"13","27","7","3","0","0","0","0","0","0","0"
"15","27","10","3","0","0","0","0","0","0","0"
"7","27","7","","0","0","0","0","0","0","0"
"8","27","7","2","0","0","0","0","0","0","0"
"10","27","5","3","0","0","0","0","0","0","0"
"5","31","6","1","0","0","1","0","0","0","0"
"12","2","4","0","0","0","0","0","0","0","0"
"14","2","5","0","1","0","1","0","0","0","0"
"9","2","3","0","0","0","0","0","0","0","0"
"3","2","2","0","0","0","0","0","0","0","0"
"1","25","7","1","0","0","3","0","0","0","0"
"2","25","3","0","0","0","0","0","0","0","0"
"1","25","5","3","0","0","0","0","1","0","0"
"7","25","4","0","0","0","0","0","0","0","0"
"6","25","5","3","0","0","0","0","1","0","0"
"11","25","4","0","0","0","0","0","0","0","0"
"10","25","10","2","0","0","0","0","0","0","0"
"9","25","3","0","0","0","0","0","0","0","0"
"12","25","5","1","0","0","0","0","0","0","0"
"13","25","6","1","0","0","0","0","0","0","0"
"14","24","5","2","0","0","0","0","0","0","0"
"15","25","7","1","0","0","1","0","0","0","0"
"4","25","5","2","0","0","1","0","0","0","0"
"5","25","3","0","0","0","0","0","0","0","0"
"3","25","3","1","0","0","0","0","0","0","0"
"7","31","4","0","0","0","0","0","0","0","0"
"12","31","4","0","0","0","0","0","0","0","0"
"14","31","2","0","0","0","0","0","0","0","0"
"1","31","7","1","0","0","0","0","0","0","0"
"3","31","2","0","0","0","1","0","0","0","0"
"2","31","2","1","0","0","1","1","0","0","0"
"4","31","8","3","0","0","0","0","0","0","0"
"6","31","3","0","0","0","0","0","0","0","0"
"8","31","3","1","0","0","0","0","0","0","0"
"9","31","7","0","0","0","0","0","0","0","0"
"10","31","5","1","0","0","0","0","0","0","0"
"12","31","3","0","0","0","1","0","0","0","0"
"11","31","3","1","0","0","0","0","0","0","0"
"13","31","3","1","0","0","0","0","0","0","0"
"12","31","4","1","0","0","0","0","0","0","0"
"15","30","4","1","0","0","0","0","0","0","0"
"15","31","5","3","0","0","3","0","0","0","0"
"14","31","3","0","0","0","0","0","0","0","0"
"9","8","5","1","1","0","0","0","0","0","0"
"7","8","10","1","0","0","0","0","0","0","0"
"4","8","10","3","0","0","0","0","0","0","0"
"14","8","5","2","0","0","0","0","0","0","0"
"13","8","4","2","0","0","0","0","0","0","0"
"12","8","7","2","0","0","0","0","0","0","0"
"11","8","9","2","3","0","0","0","0","0","0"
"10","8","4","1","0","0","0","0","0","0","0"
"6","8","5","1","0","0","1","0","0","0","0"
"5","8","5","1","0","0","2","1","0","0","0"
"15","8","5","1","0","0","0","0","0","0","0"
"1","8","3","1","0","0","2","0","0","0","0"
"2","8","10","2","0","0","0","0","0","0","0"
"8","8","9","3","1","0","1","0","0","0","0"
"5","32","5","0","0","0","0","0","0","0","0"
"6","32","10","1","0","0","0","0","0","0","0"
"4","32","5","0","0","0","0","0","0","0","0"
"3","32","9","1","0","0","0","0","0","0","0"
"1","32","7","2","0","0","0","0","0","0","0"
"2","32","1","1","0","0","0","0","0","0","0"
"7","32","4","0","0","0","0","0","0","0","0"
"8","32","4","0","0","0","0","0","0","0","0"
"9","32","7","3","0","0","0","0","0","0","0"
"10","32","5","1","0","0","0","0","0","0","0"
"11","32","4","1","0","0","0","0","1","0","0"
"12","32","5","3","0","0","0","0","0","0","0"
"13","32","4","1","0","0","0","0","0","0","0"
"15","32","5","3","0","0","0","0","1","0","0"
"14","32","6","2","0","0","0","0","0","0","0"
"2","33","8","2","0","0","0","0","0","0","0"
"1","33","5","0","0","0","0","0","0","0","0"
"5","33","4","0","1","0","0","0","0","0","0"
"3","33","3","1","0","0","0","0","0","0","0"
"4","33","7","1","0","0","0","0","0","0","0"
"10","33","1","0","0","0","0","0","0","0","0"
"11","33","4","0","0","0","0","0","0","0","0"
"12","33","3","0","0","0","0","0","0","0","0"
"13","33","7","1","0","0","0","0","0","0","0"
"14","33","4","2","0","0","0","0","0","0","0"
"15","33","4","1","0","0","0","0","0","0","0"
"15","28","7","1","0","0","0","0","0","0","0"
"14","28","6","2","0","0","0","0","0","0","0"
"13","28","4","2","0","0","0","0","0","0","0"
"10","28","7","2","0","0","0","0","0","0","0"
"11","28","6","3","1","0","0","0","0","0","0"
"9","28","11","3","0","0","0","0","1","0","0"
"12","28","6","2","0","0","0","0","0","0","0"
"8","28","3","1","0","0","2","0","0","0","0"
"7","28","6","1","0","0","1","0","0","0","0"
"6","28","5","1","0","0","0","0","0","0","0"
"5","28","4","2","0","0","0","0","0","0","0"
"3","28","3","1","0","0","0","0","0","0","0"
"1","28","3","1","0","0","0","0","0","0","0"
"4","28","8","2","1","0","0","0","0","0","0"
"4","28","4","2","0","0","0","0","0","0","0"
"15","16","8","3","0","0","0","0","0","0","0"
"14","16","9","2","0","0","0","0","0","0","0"
"13","16","7","2","0","0","0","0","0","0","0"
"12","16","5","2","0","0","0","0","0","0","0"
"11","16","3","1","0","0","0","0","0","0","0"
"10","16","11","2","0","0","0","0","0","0","0"
"9","16","10","1","0","0","0","0","0","0","0"
"8","16","2","0","0","0","0","0","0","0","0"
"7","16","10","2","0","0","0","0","0","0","0"
"6","16","6","0","0","0","0","0","0","0","0"
"5","16","2","0","0","0","0","0","0","0","0"
"4","16","9","3","0","0","0","0","0","0","0"
"3","16","7","0","0","0","0","0","0","0","0"
"2","16","4","2","0","0","0","0","0","0","0"
"1","16","6","2","0","0","0","0","0","0","0"
"4","6","3","1","0","0","0","0","0","0","0"
"7","6","6","2","0","0","0","0","0","0","0"
"6","6","5","2","0","0","0","0","0","0","0"
"1","6","13","3","0","0","0","0","0","0","0"
"2","6","6","1","0","0","0","0","0","0","0"
"3","6","3","1","0","0","0","0","0","0","0"
"15","6","5","1","0","0","0","0","0","0","0"
"13","6","7","2","0","0","0","0","0","0","0"
"14","6","3","1","0","0","0","0","0","0","0"
"12","6","3","1","0","0","0","0","0","0","0"
"11","6","5","3","0","0","0","0","1","0","0"
"10","6","3","2","0","0","0","0","0","0","0"
"5","6","5","1","0","0","0","0","0","0","0"
"9","6","4","4","0","0","0","0","0","0","0"
"8","6","5","0","0","0","0","0","0","0","0"
"13","29","9","1","0","0","0","0","0","0","0"
"12","29","11","4","0","0","1","0","0","0","0"
"14","29","10","1","0","0","0","0","0","0","0"
"15","29","7","3","0","0","0","0","0","0","0"
"1","29","7","3","0","0","0","0","0","0","0"
"11","29","4","2","0","0","0","0","0","0","0"
"10","29","6","1","0","0","0","0","0","0","0"
"9","29","6","2","0","0","0","0","0","0","0"
"8","29","3","1","0","0","0","0","0","1","1"
"7","29","3","1","0","0","0","0","0","0","0"
"6","29","5","2","0","0","0","0","0","0","0"
"5","29","7","2","0","0","0","0","0","0","0"
"4","29","7","2","0","0","1","0","0","0","0"
"3","29","3","1","0","0","3","3","0","0","0"
"2","29","4","2","0","0","3","3","0","0","0"
"1","30","7","2","0","0","0","0","0","0","0"
"4","30","10","1","1","0","0","0","0","0","0"
"2","30","9","2","0","0","0","0","0","0","0"
"5","30","8","3","0","0","0","0","0","0","0"
"3","30","10","1","0","0","0","0","0","0","0"
"15","30","5","1","0","0","0","0","0","0","0"
"14","30","8","3","0","0","0","0","0","0","0"
"13","30","3","1","0","0","0","0","0","0","0"
"12","30","5","1","0","0","0","0","0","0","0"
"11","30","3","1","0","0","0","0","0","0","0"
"10","30","9","3","0","0","0","0","0","0","0"
"9","30","3","1","0","0","0","0","0","1","1"
"8","30","2","0","0","0","0","0","0","0","0"
"7","30","10","1","0","0","0","0","0","0","0"
"6","30","4","1","0","0","0","0","0","0","0"
"18","17","4","0","0","0","0","0","0","0","0"
"19","17","4","0","0","0","1","0","0","1","0"
"1","17","10","1","0","0","0","0","0","0","0"
"2","17","10","2","0","0","1","0","0","0","0"
"3","17","3","0","0","0","0","0","0","0","0"
"4","17","5","2","0","0","0","0","0","0","0"
"5","17","6","2","0","0","0","0","0","0","0"
"6","17","3","1","0","0","0","0","0","0","0"
"7","17","10","3","0","0","0","0","0","0","0"
"5","17","4","1","0","0","0","0","0","0","0"
"9","17","8","1","0","0","0","0","0","0","0"
"10","17","7","2","0","0","0","0","0","0","0"
"11","17","7","1","0","0","0","0","0","0","0"
"12","17","6","2","0","0","0","0","0","0","0"
"13","17","9","0","0","0","0","0","0","0","0"
"14","17","3","1","0","0","0","0","0","0","0"
"15","17","8","1","0","0","0","0","0","0","0"
"5","26","9","3","0","0","0","0","0","0","0"
"1","26","4","0","0","0","0","0","0","0","0"
"3","26","5","0","0","0","0","0","0","0","0"
"8","26","7","3","0","0","1","0","0","0","0"
"13","26","4","0","0","0","0","0","0","0","0"
"18","26","6","0","0","0","1","0","0","0","0"
"12","26","8","2","0","0","1","0","0","0","0"
"14","26","4","1","0","0","0","0","0","0","0"
"11","26","7","2","0","0","1","0","0","0","0"
"7","26","7","2","0","0","0","0","0","0","0"
