"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"1","1","7","0","0","0","1","0","0","1","0"
"2","1","6","2","0","0","0","0","0","0","0"
"3","1","4","0","0","0","0","0","0","0","0"
"4","1","5","2","0","0","0","0","0","0","0"
"5","1","5","0","0","0","0","0","0","0","0"
"6","1","9","2","0","0","0","0","0","0","0"
"7","1","4","0","0","0","0","0","0","0","0"
"8","1","6","0","0","0","0","0","0","0","0"
"9","1","2","0","0","0","0","0","0","0","0"
"10","1","5","3","0","0","0","0","0","0","0"
"11","1","6","0","0","0","1","0","0","0","0"
"12","1","6","3","0","0","1","0","0","0","0"
"13","1","7","1","0","0","0","0","0","0","0"
"14","1","5","2","0","0","0","0","0","0","0"
"1","2","6","0","0","0","0","0","0","0","0"
"2","2","5","0","0","0","0","0","0","0","0"
"3","2","3","1","0","0","0","0","0","0","0"
"4","2","3","1","0","0","0","0","0","0","0"
"5","2","5","1","0","0","0","0","0","0","0"
"6","2","7","2","0","0","0","0","0","0","0"
"7","2","5","0","0","0","0","0","0","0","0"
"8","2","6","3","0","0","0","0","0","0","0"
"9","2","5","1","0","0","0","0","0","0","0"
"10","2","3","1","0","0","0","0","0","0","0"
"11","2","4","1","0","0","0","0","0","0","0"
"12","2","9","2","0","0","0","0","0","0","0"
"13","2","4","2","0","0","0","0","0","0","0"
"14","2","4","1","0","0","0","0","0","0","0"
"1","3","4","2","0","0","0","0","0","0","0"
"2","3","5","3","0","0","0","0","0","0","0"
"3","3","8","3","0","0","0","0","0","0","0"
"4","3","5","1","0","0","0","0","0","0","0"
"5","3","3","1","0","0","0","0","0","0","0"
"6","3","3","1","0","0","0","0","1","0","0"
"7","3","6","2","0","0","0","0","0","0","0"
"8","3","7","2","0","0","2","0","0","0","0"
"9","3","7","2","0","0","0","0","0","0","0"
"10","3","7","2","0","0","0","0","0","0","0"
"11","3","8","1","0","0","0","0","0","0","0"
"12","3","3","0","0","0","0","0","0","0","0"
"13","3","4","1","0","0","0","0","0","0","0"
"14","3","6","2","0","0","0","0","0","0","0"
"1","4","5","1","0","0","0","0","0","0","0"
"2","4","3","1","0","0","0","0","1","0","0"
"3","4","3","1","0","0","0","0","0","0","0"
"4","4","4","2","0","0","0","0","0","0","0"
"5","4","3","1","0","0","1","0","0","0","0"
"6","4","6","2","0","0","0","0","0","0","0"
"7","4","4","2","0","0","0","0","0","0","0"
"8","4","3","1","0","0","0","0","0","0","0"
"9","4","5","2","0","0","1","0","0","0","0"
"10","4","6","2","0","0","0","0","0","0","0"
"11","4","5","0","0","0","0","0","0","0","0"
"12","4","4","2","0","0","0","0","1","0","0"
"13","4","7","0","0","0","0","0","0","0","0"
"14","4","6","2","0","0","1","0","0","0","0"
"1","5","7","2","0","0","0","0","0","0","0"
"2","5","4","2","0","0","0","0","0","0","0"
"3","5","5","1","2","0","0","0","0","0","0"
"4","5","5","1","0","0","0","0","0","0","0"
"5","5","3","1","0","0","2","0","0","0","0"
"6","5","6","2","0","0","0","0","1","0","0"
"7","5","5","1","0","0","0","0","0","0","0"
"8","5","5","1","0","0","0","0","0","0","0"
"9","5","4","0","0","0","0","0","0","0","0"
"10","5","5","1","0","0","0","0","0","0","0"
"11","5","4","0","0","0","0","0","0","0","0"
"12","5","5","1","0","0","0","0","0","0","0"
"13","5","9","2","0","0","0","0","0","0","0"
"14","5","8","3","0","0","0","0","2","0","0"
"1","6","4","2","0","0","0","0","1","0","0"
"2","6","10","3","0","0","0","0","0","0","0"
"3","6","6","1","0","0","0","0","0","0","0"
"4","6","5","2","0","0","0","0","0","0","0"
"5","6","7","1","0","0","0","0","0","0","0"
"6","6","5","3","0","0","0","0","0","0","0"
"7","6","8","3","0","0","0","0","0","0","0"
"8","6","5","2","0","0","0","0","1","0","0"
"9","6","6","1","0","0","0","0","0","0","0"
"10","6","6","2","0","0","0","0","0","0","0"
"11","6","7","1","0","0","0","0","1","0","0"
"12","6","2","0","0","0","0","0","0","0","0"
"13","6","3","1","0","0","0","0","0","0","0"
"14","6","6","0","0","0","0","0","0","0","0"
"1","7","2","0","0","0","0","0","0","0","0"
"2","7","6","2","0","0","0","0","0","0","0"
"3","7","3","0","0","0","0","0","0","0","0"
"4","7","3","1","0","0","0","0","0","0","0"
"5","7","4","0","0","0","0","0","0","0","0"
"6","7","5","1","0","0","0","0","0","0","0"
"7","7","7","1","0","0","0","0","0","0","0"
"8","7","3","1","0","0","0","0","0","0","0"
"9","7","5","2","0","0","0","0","0","0","0"
"10","7","7","1","0","0","0","0","0","0","0"
"11","7","6","1","0","0","0","0","0","0","0"
"12","7","6","4","0","0","0","0","1","0","0"
"13","7","3","1","0","0","0","0","0","0","0"
"14","7","5","1","0","0","0","0","0","0","0"
"1","8","8","4","0","0","0","0","0","0","0"
"2","8","10","2","0","0","0","0","0","0","0"
"3","8","4","0","0","0","0","0","0","0","0"
"4","8","4","2","0","0","0","0","0","0","0"
"5","8","3","1","0","0","0","0","0","0","0"
"6","8","6","2","0","0","0","0","0","0","0"
"7","8","7","3","0","0","0","0","0","0","0"
"8","8","6","1","0","0","0","0","0","0","0"
"9","8","5","0","0","0","0","0","0","0","0"
"10","8","7","3","0","0","0","0","1","0","0"
"11","8","3","1","3","0","0","0","0","0","0"
"12","8","6","1","0","0","0","0","0","0","0"
"13","8","7","1","0","0","0","0","0","0","0"
"14","8","6","1","0","0","0","0","0","0","0"
"1","9","6","2","0","0","1","0","0","0","0"
"2","9","4","1","0","0","0","0","0","0","0"
"3","9","7","2","0","0","0","0","0","0","0"
"4","9","7","3","0","0","0","0","0","0","0"
"5","9","5","2","0","0","0","0","0","0","0"
"6","9","6","1","0","0","0","0","0","0","0"
"7","9","4","0","0","0","0","0","0","0","0"
"8","9","7","3","0","0","0","0","0","0","0"
"9","9","5","1","0","0","0","0","0","0","0"
"10","9","3","1","0","0","0","0","0","0","0"
"11","9","10","1","0","0","0","0","0","0","0"
"12","9","5","3","0","0","0","0","0","0","0"
"13","9","6","1","0","0","0","0","1","0","0"
"14","9","4","1","0","0","0","0","0","0","0"
"1","10","5","2","0","0","0","0","0","0","0"
"2","10","9","2","0","0","0","0","0","0","0"
"3","10","5","0","0","0","0","0","0","0","0"
"4","10","9","0","0","0","0","0","0","0","0"
"5","10","6","2","0","0","0","0","0","0","0"
"6","10","4","1","0","0","0","0","0","0","0"
"7","10","10","3","0","0","0","0","0","0","0"
"8","10","4","0","0","0","0","0","0","0","0"
"9","10","8","1","0","0","0","0","0","0","0"
"10","10","7","0","0","0","0","0","0","1","0"
"11","10","9","2","0","0","0","0","0","0","0"
"12","10","7","4","0","0","1","0","0","0","0"
"13","10","8","3","0","0","1","0","1","0","0"
"15","10","2","1","0","0","0","0","0","0","0"
"1","11","7","0","0","0","0","0","0","0","0"
"2","11","10","3","0","0","0","0","0","0","0"
"3","11","6","2","0","0","0","0","0","0","0"
"4","11","3","1","0","0","0","0","1","0","0"
