"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"585","1","5","3","0","0","0","0","0","0","0"
"586","1","7","3","0","0","0","0","0","0","0"
"587","1","8","3","0","0","0","0","0","0","0"
"855","1","6","1","0","0","1","0","1","0","0"
"589","1","7","2","0","0","2","0","0","0","0"
"590","1","5","0","0","0","1","0","0","0","0"
"591","1","6","0","0","0","3","2","0","0","0"
"592","1","5","2","0","0","1","0","0","0","0"
"593","1","13","1","0","0","0","0","0","0","0"
"594","1","4","0","0","0","1","0","0","0","0"
"595","1","5","1","0","0","0","0","0","0","0"
"596","1","9","3","0","0","1","0","0","0","0"
"597","1","7","2","0","0","1","0","0","0","0"
"598","1","11","4","0","2","0","0","0","0","0"
"599","1","5","3","0","0","0","0","0","0","0"
"600","1","6","4","0","0","0","0","0","0","0"
"601","1","8","3","0","0","1","0","0","0","0"
"602","1","7","3","2","0","0","0","0","0","0"
"603","1","8","3","1","0","1","0","0","0","0"
"604","1","7","2","2","0","0","0","0","1","0"
"514","2","7","1","0","0","1","0","0","0","0"
"515","2","11","2","3","0","1","0","0","1","0"
"516","2","7","1","0","0","1","0","0","0","0"
"517","2","5","1","0","0","0","0","0","1","1"
"518","2","12","3","0","0","0","0","1","0","0"
"519","2","7","3","0","0","0","0","0","0","0"
"520","2","5","1","0","0","0","0","0","0","0"
"521","2","5","2","0","0","0","0","0","0","0"
"522","2","9","2","0","0","0","0","0","1","0"
"523","2","7","2","0","0","1","0","0","0","0"
"524","2","8","1","0","0","1","0","0","0","0"
"525","2","5","1","0","0","0","0","0","0","0"
"526","2","10","0","1","0","0","0","0","0","0"
"527","2","8","1","0","0","1","0","0","0","0"
"528","2","5","1","0","0","0","0","0","0","0"
"529","2","8","1","0","0","0","0","0","0","0"
"530","2","9","1","1","0","1","0","0","0","0"
"531","2","8","3","0","0","0","0","0","0","0"
"532","2","5","1","0","0","0","0","0","0","0"
"533","2","10","2","1","0","1","0","0","0","0"
"534","2","7","2","0","0","0","0","0","0","0"
"535","2","8","1","0","0","1","0","0","0","0"
"536","2","10","2","4","0","2","0","0","0","0"
"537","2","7","1","2","0","1","0","0","0","0"
"154","3","7","0","0","0","0","0","0","0","0"
"155","3","7","3","2","0","2","0","0","0","0"
"156","3","6","0","0","0","1","0","0","0","0"
"157","3","4","1","0","0","3","0","0","0","0"
"158","3","6","0","0","0","0","0","0","0","0"
"159","3","7","0","0","0","0","0","0","0","0"
"160","3","7","2","0","0","1","0","0","0","0"
"161","3","7","3","1","0","0","0","0","0","0"
"162","3","7","2","1","0","2","0","0","0","0"
"163","3","5","1","0","0","0","0","0","0","0"
"164","3","4","2","0","0","1","0","1","0","0"
"165","3","4","1","0","0","0","0","0","0","0"
"166","3","5","2","0","0","1","0","1","0","0"
"167","3","7","2","0","0","1","0","0","0","0"
"168","3","8","1","2","0","0","0","0","0","0"
"169","3","7","1","0","0","0","0","0","0","0"
"170","3","15","1","7","0","0","0","0","0","0"
"176","4","5","1","0","0","0","0","0","0","0"
"177","4","5","1","0","0","1","0","0","0","0"
"178","4","5","1","1","0","0","0","0","0","0"
"179","4","6","1","0","0","0","0","0","0","0"
"180","4","5","1","0","0","0","0","0","0","0"
"181","4","5","2","0","0","0","0","0","0","0"
"182","4","5","2","0","0","0","0","0","0","0"
"183","4","4","1","0","0","0","0","0","0","0"
"184","4","5","1","0","0","0","0","0","0","0"
"185","4","5","3","3","0","0","0","0","0","0"
"186","4","3","1","0","0","0","0","0","1","1"
"187","4","5","1","0","0","1","0","0","0","0"
"188","4","6","3","0","0","0","0","0","0","0"
"189","4","9","3","0","0","0","0","1","0","0"
"190","4","6","1","0","0","0","0","0","0","0"
"191","4","4","1","0","0","1","0","0","0","0"
"192","4","6","2","0","0","0","0","0","0","0"
