"SurveyID","Old_Name","Agency","District","Region","LHZ","Start_Date","End_Date","Recall_Days","Quality_Score","UnkCode","InjCode","ViolCode"
"SOM_2023_08_admin2_hargeysa_idps","hargeysa IDPs _08_23.as","FSNAU","hargeysa","Woqooyi Galbeed","idps","2023-08-01","2023-08-10","93","0.8","0",NA,NA
"SOM_2023_04_admin2_hargeysa_urban","hargeysa Urban_08_23.as","FSNAU","hargeysa","Woqooyi Galbeed","urban","2023-04-08","2023-08-10","93","0.88","0",NA,NA
"SOM_2022_08_admin2_odweyne_rural","Odweyne_rural Complete Anthro_Mortality.as","FSNAU","odweyne","Togdheer","rural","2022-08-10","2022-12-10","93","0.97","0",NA,NA
"SOM_2016_05_admin2_hargeysa_idp","SOM_201605_admin2_Hargeysa IDP.as","FSNAU","hargeysa","Woqooyi Galbeed","idp","2016-01-06","2016-01-06","93","0.86","0",NA,NA
"SOM_2015_07_admin2_beletweyne_NA","SOM_201607_admin2_BeletWeyne.as","FSNAU","beletweyne","hiran",NA,"2015-07-15","2016-07-17","160","0.96","0","0",NA
"SOM_2017_05_admin2_baydhaba_NA","SOM_201705_admin2_Baydhaba.as","FSNAU","baydhaba","Bay",NA,"2017-05-21","2017-05-28","93","0.78","0",NA,NA
"SOM_2015_11_admin2_berbera_idp","SOM_201611_admin2_Berbera IDP.as","FSNAU","berbera","Woqooyi Galbeed","idp","2016-11-18","2016-11-23","93",NA,"0",NA,NA
"SOM_2016_10_admin2_bossaso_idp","SOM_201611_admin2_Bossaso IDP.as","FSNAU","bossaso","Bari","idp","2016-11-18","2016-11-24","90","0.87","0",NA,NA
"SOM_2008_11_admin2_dhuusamarreeb_idp","SOM_201611_admin2_Dhuusamarreeb_dhobley_IDP.as","FSNAU","dhuusamarreeb","Galgaduud","idp","2008-11-18","2016-11-17","90","0.87","0",NA,NA
"SOM_2015_11_admin2_doolow_idp","SOM_201611_admin2_Doolow IDP.as","FSNAU","doolow","Gedo","idp","2016-11-16","2016-11-20","90","0.94","0",NA,NA
"SOM_2016_10_admin2_garoowe_idp","SOM_201611_admin2_Garoowe IDP.as","FSNAU","garoowe","Nugaal","idp","2016-11-17","2016-11-25","90","0.89","0",NA,NA
"SOM_2016_10_admin2_garowe_idp","SOM_201611_admin2_Garowe IDP.as","FSNAU","garoowe","nugaal","idp","2016-11-17","2016-11-25","90","0.89","0",NA,NA
"SOM_2013_11_admin2_hargeysa_idp","SOM_201611_admin2_Hargeysa IDP.as","FSNAU","hargeysa","Woqooyi Galbeed","idp","2016-11-17","2016-11-23","90","0.84","0",NA,NA
"SOM_2016_11_admin2_kismayo_idp","SOM_201611_admin2_Kismayo IDP.as","FSNAU","kismayo","lower juba","idp","2016-11-17","2016-11-23","90","0.82","0",NA,NA
"SOM_2016_11_admin2_mogadishu_idp","SOM_201611_admin2_Mogadishu IDP.as","FSNAU","banadir","banadir","idp","2016-11-17","2016-11-23","90","0.99","0",NA,NA
"SOM_2016_11_admin2_qardho_NA","SOM_201611_admin2_qardho Agropastoral.as","FSNAU","qardho","Bari",NA,"2016-11-18","2016-11-27","93",NA,"0",NA,NA
"SOM_2001_11_admin2_dhusamareb_NA","SOM_201611_Dhusamareb_check.as","FSNAU","dhusamareb","Galguduud ",NA,"2016-11-23","2016-11-23","90","0","0",NA,NA
"SOM_2016_11_admin2_baydhaba_idp","SOM_201612_admin2_Baydhaba IDP.as","FSNAU","baydhaba","Bay","idp","2016-11-20","2016-11-23","90","0.93","0",NA,NA
"SOM_2016_12_admin2_beletweyne_NA","SOM_201612_admin2_BeletWeyne.as","FSNAU","beletweyne","hiran",NA,"2016-12-24","2016-12-30","90","0.97","0",NA,NA
"SOM_2017_04_admin2_burco_idp","SOM_201703_admin2_Burco IDP.as","FSNAU","burco","Togdheer","idp","2017-04-18","2017-04-18","93","0","0",NA,NA
"SOM_2017_04_admin2_cabuudwaaq_hawd","SOM_201703_admin2_Cabuudwaaq.as","FSNAU","cabudwaaq","Galgaduud","hawd","2017-04-18","2017-04-18","93","0","0",NA,NA
"SOM_2017_04_admin2_cadaado_NA","SOM_201703_admin2_Cadaado.as","FSNAU","cadaado","Galgaduud",NA,"2017-04-18","2017-04-18","93","0","0",NA,NA
"SOM_2017_04_admin2_laasqoray_east golis","SOM_201703_admin2_Laasqoray.as","FSNAU","laasqoray","Sanaag","east golis","2017-04-18","2017-04-18","93","0","0",NA,NA
"SOM_2017_05_admin2_beletweyne_NA","SOM_201705_admin2_BeletWeyne.as","FSNAU","beletweyne","hiran",NA,"2017-05-24","2017-06-03","93","0.95","0",NA,NA
