"SMART_Survey_Name","CSV_Name","Last_update_time","Type of survey/issue"
"Addun Pastoral Gu 2023.as","SOM_2023_07_lhz_addun_pastoral","Thu Jul 25 17:20:17 2024","lhz"
"Coastal Deeh 2023 Gu.as","SOM_2023_07_lhz_coastal_NA","Thu Jul 25 17:20:18 2024","lhz"
"hargeysa IDPs _08_23.as","SOM_2023_08_admin2_hargeysa_idps","Thu Jul 25 17:20:18 2024","individual"
"hargeysa Urban_08_23.as","SOM_2023_04_admin2_hargeysa_urban","Thu Jul 25 17:20:18 2024","individual"
"Hawd Pastoral Central Ne 2023 Gu.as","SOM_2023_07_lhz_hawd_pastoral","Thu Jul 25 17:20:18 2024","lhz"
"NW Agropastoral_1223.as","SOM_2023_12_lhz_nw_NA","Thu Jul 25 17:20:18 2024","lhz"
"Odweyne_rural Complete Anthro_Mortality.as","SOM_2022_08_admin2_odweyne_rural","Thu Jul 25 17:20:18 2024","individual"
"Shabelle_AP Agropastoral_2023_Gu Rev.as","SOM_2023_07_lhz_shabelle_NA","Thu Jul 25 17:20:18 2024","lhz"
"SOM-NW NIP_0823.as","SOM_2023_01_lhz_nip_NA","Thu Jul 25 17:20:18 2024","lhz"
"SOM_2013_admin2_Baydhaba.as","SOM_2013_11_admin2_baydhaba_NA","Thu Jul 25 17:20:18 2024","aggregate"
"SOM_2013_admin2_BeletWeyne.as",NA,"Thu Jul 25 17:20:18 2024","Missing Date"
"SOM_2013_admin2_BeletWeyne_2.as","SOM_2014_01_admin2_beletweyne_NA","Thu Jul 25 17:20:18 2024","aggregate"
"SOM_2013_admin2_Mogadishu_IDP.as","SOM_2013_12_admin2_mogadishu_idp","Thu Jul 25 17:20:18 2024","aggregate"
"SOM_2013_LHZ_Bakool_pastoral.as","SOM_2013_07_lhz_bakool_pastoral","Thu Jul 25 17:20:19 2024","lhz"
"SOM_2013_LHZ_Bay AgroPastAgropastoral.as","SOM_2013_12_lhz_bay_NA","Thu Jul 25 17:20:19 2024","lhz"
"SOM_2013_LHZ_Shabelle AP Agropastoral.as","SOM_2014_01_lhz_shabelle_NA","Thu Jul 25 17:20:19 2024","lhz"
"SOM_2013_LHZ_Shabelle River Agropastoral.as","SOM_2014_01_lhz_shabelle_river","Thu Jul 25 17:20:19 2024","lhz"
"SOM_2014_06_LHZ_Addun pastoral.as",NA,"Thu Jul 25 17:20:19 2024","Missing Date"
"SOM_2014_11_admin1_Bari urban.as","SOM_2014_12_admin2_bari_urban","Thu Jul 25 17:20:19 2024","aggregate"
"SOM_2014_admin2_Burco_IDP.as","SOM_2014_05_admin2_burco_idp","Thu Jul 25 17:20:19 2024","aggregate"
"SOM_2014_admin2_Hargeysa IDP.as","SOM_2014_06_admin2_hargeysa_idp","Thu Jul 25 17:20:19 2024","aggregate"
"SOM_2014_LHZ_Bay AgroPast Agropastoral.as",NA,"Thu Jul 25 17:20:19 2024","Missing Date"
"SOM_2014_LHZ_coastal_deeh.as",NA,"Thu Jul 25 17:20:19 2024","Missing Date"
"SOM_2014_LHZ_NE_hawd.as",NA,"Thu Jul 25 17:20:19 2024","Missing Date"
"SOM_201411_admin1_Galgaduud.as","SOM_2014_11_lhz_galgaduud_NA","Thu Jul 25 17:20:19 2024","lhz"
"SOM_201411_admin1_Mudug.as","SOM_2014_11_lhz_mudug_NA","Thu Jul 25 17:20:19 2024","lhz"
"SOM_201411_admin2_Baardheere (Dhobley)IDP.as","SOM_2014_11_admin2_baardheere_NA","Thu Jul 25 17:20:19 2024","aggregate"
"SOM_201411_admin2_Bossaso IDP.as","SOM_2014_11_admin2_bossaso_idp","Thu Jul 25 17:20:19 2024","aggregate"
"SOM_201411_admin2_Doolow IDP.as","SOM_2014_11_admin2_doolow_idp","Thu Jul 25 17:20:19 2024","aggregate"
"SOM_201411_admin2_qardho IDP.as","SOM_2014_11_admin2_qardho_idp","Thu Jul 25 17:20:19 2024","aggregate"
"SOM_201411_LHZ_Addun.as","SOM_2014_10_lhz_addun_NA","Thu Jul 25 17:20:20 2024","lhz"
"SOM_201411_LHZ_Coastal deeh NE.as","SOM_2014_12_lhz_coastal_ne","Thu Jul 25 17:20:20 2024","lhz"
"SOM_201411_LHZ_coastal_deeh_central.as","SOM_2014_12_lhz_coastal_NA","Thu Jul 25 17:20:20 2024","lhz"
"SOM_201411_LHZ_North_Gedo_Pastoralpastoral.as","SOM_2014_12_lhz_gedo_NA","Thu Jul 25 17:20:20 2024","lhz"
