"settlements","nb_cluster","district","lhz"
"aabaraka","1","baydhaba","bay"
"aayaroy","2","buurhakaba","bay"
"awsheikhissaq","3","baydhaba","bay"
"barakow","4","diinsoor","bay"
"biderey","5","diinsoor","bay"
"bootiyey","6","baydhaba","bay"
"buulobakaaro","7","baydhaba","bay"
"buulocaday","8","diinsoor","bay"
"buulogarow","9","baydhaba","bay"
"buulofur","10","baydhaba","bay"
"caliyowmuumin","11","baydhaba","bay"
"dereersin","12","baydhaba","bay"
"doodaale","RC","buurhakaba","bay"
"fuuddoora","13","buurhakaba","bay"
"godka","14","buurhakaba","bay"
"goofdhuubow","15","baydhaba","bay"
"gudweyn","16","buurhakaba","bay"
"hasli","17","baydhaba","bay"
"haween","18","baydhaba","bay"
"idadkoble","19","diinsoor","bay"
"jinaay","20","baydhaba","bay"
"kerowmalaaq","21","baydhaba","bay"
"kunyorooble","22","buurhakaba","bay"
"laantigaraska","23","baydhaba","bay"
"liimaale","RC","buurhakaba","bay"
"maaranka","24","baydhaba","bay"
"maguurta","25","baydhaba","bay"
"misnagata","26","buurhakaba","bay"
"ordolowangel","27","baydhaba","bay"
"raaxoole","RC","diinsoor","bay"
"ruqoole","28","baydhaba","bay"
"shiidlow","29","buurhakaba","bay"
"waafdhaaywiin","30","buurhakaba","bay"
