"settlements","nb_cluster","district","lhz"
"ardaa","1","ceerigaabo","nip"
"baraagahaqol","2","ceerigaabo","nip"
"biyoguduud","3","ceerigaabo","nip"
"buraan","4","laasqoray","nip"
"carmale","5","ceerigaabo","nip"
"dalsan","7","ceerigaabo","nip"
"damalexagare","8","ceerigaabo","nip"
"dhuurmadare","10","ceerigaabo","nip"
"durdur","11","ceerigaabo","nip"
"fiqifuliye","RC","ceerigaabo","nip"
"gooraan","12","ceerigaabo","nip"
"iladadubgaxsatellite","13","ceelafweyn","nip"
"kulaal","14","ceerigaabo","nip"
"sabaayo","15","ceerigaabo","nip"
"sincaro","RC","ceelafweyn","nip"
"baarmadoobeye","16","taleex","nip"
"buqdheer","17","taleex","nip"
"ceegsaaf","18","caynabo","nip"
"dhanaano","RC","caynabo","nip"
"gambare","19","laascaanood","nip"
"hangey","20","xudun","nip"
"higlofiqi","21","laascaanood","nip"
"wadajir","24","galkacyo","hawd"
"oog","25","caynabo","nip"
"sahagebogebo","26","laascaanood","nip"
"timir","27","taleex","nip"
"tuulosamakaab","28","laascaanood","nip"
"xudun","29","xudun","nip"
"kiridh","RC","caynabo","hawd"
"xalin","30","laascanood","nip"
