"settlements","nb_cluster","district","lhz"
"dabataag","1","laascaanood","hawd"
"kalabaydh","RC,2","laascanood","hawd"
"karindabayl","3","laascaanood","hawd"
"qoriiley","4","laascaanood","hawd"
"afineyn","5","burco","hawd"
"ballidandan","6","buuhoodle","hawd"
"ballidhiig","7","burco","hawd"
"ballihiille","8","burco","hawd"
"banyaal","9","buuhoodle","hawd"
"cabaale","10","buuhoodle","hawd"
"duudweeyn","11","owdweyne","hawd"
"galooley","RC","oodweyne","hawd"
"haidirir","12","burco","hawd"
"jamaqamar","13","burco","hawd"
"leberare","14","burco","hawd"
"maxamedugaas","15","burco","hawd"
"obsiiye","16","owdweyne","hawd"
"qolqolkamadoobesatellite","17","owdweyne","hawd"
"qorilugud","18","buuhoodle","hawd"
"qudhacsafar","20","burco","hawd"
"sooljoogto","21","buuhoodle","hawd"
"widhwidh","22","buuhoodle","hawd"
"xaajisaalax","23","owdweyne","hawd"
"xayira","24","burco","hawd"
"yeyle","RC","buuhoodle","hawd"
"balligubadle","25","hargeysa","hawd"
"kaabadaqunyardaga","26","hargeysa","hawd"
"dhumay","27","laascanood","hawd"
"qoriley","28","buuhoodle","hawd"
