"settlements","nb_cluster","district","lhz"
"baxdo","RC","cadaado","addun"
"elder","1,2","dhuusamarreeb","addun"
"marsamage","3","cadaado","addun"
"wargalo","4","cadaado","addun"
"warshubo","5","ceelbuur","addun"
"xincaws","6","ceelbuur","addun"
"afbulo","7","hobyo","addun"
"ballibusle","RC,8","gaalkacyo","addun"
"bitaale","9","hobyo","addun"
"bohol","10","gaalkacyo","addun"
"carfuuda","11","gaalkacyo","addun"
"celakhwan","12","gaalkacyo","addun"
"celxagar","13,14","jariiban","addun"
"docol","15,16","gaalkacyo","addun"
"elgorei","17","hobyo","addun"
"qorile","19,20","gaalkacyo","addun"
"laasocadale","21","gaalkacyo","addun"
"lebilamaane","22","jariiban","addun"
"seego","24","hobyo","addun"
"semade","25","jariiban","addun"
"tawfiiq","RC","jariiban","addun"
"dhiganle","26","eyl","addun"
