"settlements","nb_cluster","district","lhz"
"bariisle","1","zeylac","guban"
"caashacaddo","2","zeylac","guban"
"carowareen","3","borama","guban"
"dabodilaac","6","borama","guban"
"fardalaguxidh","7","lughaye","guban"
"fiqiaadan","8","borama","guban"
"geerisa","9,10","lughaye","guban"
"hadhwanaag","11","lughaye","guban"
"heemaalcadde","12","zeylac","guban"
"karuure","13","lughaye","guban"
"lawyacaddo","14,15","zeylac","guban"
"lughaye","RC","lughaye","guban"
"sheikhawaare","16","zeylac","guban"
"toqoshi","17","zeylac","guban"
"xirsibow","18","zeylac","guban"
"zeylac","19","zeylac","guban"
"ceelsheekh","23","berbera","guban"
"geeri","24","berbera","guban"
"siyaara","25","berbera","guban"
"gargaara","28","baki","guban"
"balayga","29","baki","guban"
