"settlements","nb_cluster","district","lhz"
"boobdheere","1","cabudwaaq","hawd"
"dhuumoodle","2","cabudwaaq","hawd"
"huurshe","3","cabudwaaq","hawd"
"mirjicle","4","cabudwaaq","hawd"
"xananburo","5","cabudwaaq","hawd"
"bandiiradleey","6","cadaado","hawd"
"iidoole","8","cadaado","hawd"
"gadoon","9","dhuusamarreeb","hawd"
"mareerguur","10,11","dhuusamarreeb","hawd"
"afweyn","RC","gaalkacyo","hawd"
"bandiidley","12","gaalkacyo","hawd"
"bursaalax","13","galdogob","hawd"
"cadaygabgabo","14","gaalkacyo","hawd"
"ceelberde","15","gaalkacyo","hawd"
"roox","17","galdogob","hawd"
"tarocasso","18","gaalkacyo","hawd"
"xarfo","19","gaalkacyo","hawd"
"bacadweyn","20","eyl","hawd"
"hayanle","22","burtinle","hawd"
"jalam","23","burtinle","hawd"
"kalabayr","24","burtinle","hawd"
"mayle","25","burtinle","hawd"
"raydable","RC","burtinle","hawd"
"sallax","26","burtinle","hawd"
"xamur","27","burtinle","hawd"
