"settlements","nb_cluster","district","lhz"
"afruugleey","1","iskushuban","deeh"
"dhariinbaar","2","bandarbeyla","deeh"
"dhuur","3","bandarbeyla","deeh"
"falfalax","4","bandarbeyla","deeh"
"foocaar","5,6","iskushuban","deeh"
"garmaal","7,8","bandarbeyla","deeh"
"gumbax","9","iskushuban","deeh"
"handa","RC","iskushuban","deeh"
"hurdiya","10","iskushuban","deeh"
"kabal","11","bandarbeyla","deeh"
"kulule","12","bandarbeyla","deeh"
"qundhed","RC,13","bari","deeh"
"suuj","RC","bandarbeyla","deeh"
"xaafuun","14","iskushuban","coastal"
"dhinawdadhigdhigley","15","jariiban","deeh"
"doomariyo","16","jariiban","deeh"
"ilfoocshe","17","jariiban","deeh"
"kulub","18,19,20","jariiban","deeh"
"maraya","21","eyl","deeh"
"dhalinraqas","23","eyl","deeh"
"dhinowda","24","eyl","deeh"
"garabhar","25","eyl","deeh"
"jifle","26","eyl","deeh"
"kabaalwaq","27","eyl","deeh"
"qulule","28","eyl","deeh"
