"settlements","nb_cluster","district","lhz"
"cambaarhoose","1","qardho","nip"
"ceeldoofar","RC","bossaso","nip"
"dhudhub","2","qardho","nip"
"dhuudo","3","bandarbeyla","nip"
"iskorosaar","4","iskushuban","nip"
"kalmasso","5","iskushuban","nip"
"meygaag","6","qardho","nip"
"qodax","7","qardho","nip"
"rako","8,9","qardho","nip"
"sanjilbo","10","qardho","nip"
"sheerbi","11","qardho","nip"
"shire","12","qardho","nip"
"uusgure","13","qardho","nip"
"xaajikhayr","14","qardho","nip"
"xiddo","RC","qardho","nip"
"xiriiro","RC,15","iskushuban","nip"
"xumbays","16","qardho","nip"
"timirka","23","garoowe","hawd"
"qarxis","24,25","eyl","nip"
"sinujif","26,27","garoowe","nip"
"baqbaq","28","bandarbeyla","nip"
