"settlements","nb_cluster","district","lhz"
"dilla","1","borama","nw"
"goroyocawl","2","borama","nw"
"ishagudban","3","gebiley","nw"
"jufogaliiley","4","borama","nw"
"magaalocad","5","borama","nw"
"tulli","6","borama","nw"
"gatiitaley","7","odweyne","nw"
"ximan","9","togdheer","nw"
"abaarso","10","hargeysa","nw"
"agamso","11","gebiley","nw"
"boodhka","12","gebiley","nw"
"boqor","13","gebiley","nw"
"botor","14","gebiley","nw"
"carromadow","15","hargeysa","nw"
"dhagala","16","hargeysa","nw"
"fahda","17","hargeysa","nw"
"galooley","18","togdheer","nw"
"geedabeera","19","hargeysa","nw"
"godkacarada","RC","gebiley","nw"
"golgolwanaag","20","hargeysa","nw"
"guricad","21","gebiley","nw"
"huluuq","22","gebiley","nw"
"ijaara","RC","gebiley","nw"
"ijiwaaji","23","gebiley","nw"
"ilmadedo","24","gebiley","nw"
"jidhigabiley","25","gebiley","nw"
"kalabaydh","RC","gebiley","nw"
"laaca","26","gebiley","nw"
"laasxadhaadh","RC","gebiley","nw"
"lookaaroor","27","gebiley","nw"
"maraaga","28","hargeysa","nw"
"matan","29","gebiley","nw"
"sanlawegalbed","30","gebiley","nw"
"toon","31","hargeysa","nw"
"udan","32","hargeysa","nw"
"ugaadhyahan","33","gebiley","nw"
"xaraf","34","hargeysa","nw"
"yaldo","35","gebiley","nw"
"arabsiyo","36","gebiley","nw"
