"settlements","nb_cluster","district","lhz"
"ceeldhidar","1","bandarbeyla","deeh"
"dhariinbaar","2","bandarbeyla","deeh"
"falfalax","3","bandarbeyla","deeh"
"foocaar","4,5","iskushuban","deeh"
"fundhucdule","6","bandarbeyla","deeh"
"garmaal","7,8","bandarbeyla","deeh"
"handa","9","iskushuban","deeh"
"hurdiya","10","iskushuban","deeh"
"kabal","RC","bandarbeyla","deeh"
"karduush","11","iskushuban","deeh"
"laamiye","12","iskushuban","deeh"
"qundhed","RC","bari","deeh"
"suuj","13,14","bandarbeyla","deeh"
"dhinawdadhigdhigley","15,16","jariiban","deeh"
"doomariyo","17","jariiban","deeh"
"ilfoocshe","18","jariiban","deeh"
"kulub","19,RC,20","jariiban","deeh"
"maraya","21","eyl","deeh"
"gaalaood","24","eyl","deeh"
"illig","25","eyl","deeh"
"jifle","26","eyl","deeh"
"ladega","27","eyl","deeh"
"qulule","28","eyl","deeh"
