"settlements","nb_cluster","district","lhz"
"balooleigar","1","ceelafweyn","eastgolis"
"ceellaqodaysatellite","RC","ceerigaabo","eastgolis"
"dagaar","RC","ceerigaabo","eastgolis"
"daryalle","2","ceelafweyn","eastgolis"
"doonyahasattellite","3","ceerigaabo","eastgolis"
"garabkarid","4","ceerigaabo","eastgolis"
"godheeli","5","ceelafweyn","eastgolis"
"hadaaftimo","6,7","ceerigaabo","eastgolis"
"hareed","8","ceerigaabo","eastgolis"
"jiidali","9","ceerigaabo","eastgolis"
"laanqiciyesatellite","11","ceerigaabo","eastgolis"
"laasasurad","12","ceerigaabo","eastgolis"
"maaxsatellite","13","ceerigaabo","eastgolis"
"maydh","14","ceerigaabo","eastgolis"
"midigale","15","laasqoray","eastgolis"
"raad","16","laasqoray","eastgolis"
"ruguda","17","ceerigaabo","eastgolis"
"shumoxshumox","18","ceerigaabo","eastgolis"
"xaadh","19","ceerigaabo","eastgolis"
"xidid","20","laasqoray","eastgolis"
"ufeyn","22","bossaso","eastgolis"
"baargaal","RC,23","iskushuban","eastgolis"
"ballikhadar","24","bossaso","eastgolis"
"coomaay","RC","iskushuban","eastgolis"
"gargoore","26","iskushuban","eastgolis"
"hursale","27","caluula","eastgolis"
"murcanyo","28","caluula","eastgolis"
"muudiye","29","iskushuban","eastgolis"
"qaw","30","bossaso","eastgolis"
"tooxin","31","caluula","eastgolis"
"xarago","32","qandala","eastgolis"
