"settlements","nb_cluster","district","lhz"
"baxarasaaf","RC","zeylac","guban"
"cabdigeeddi","1","baki","guban"
"dabodilaac","4","borama","guban"
"fardalaguxidh","5","lughaye","guban"
"fiqiaadan","6","borama","guban"
"geerisa","7,RC","lughaye","guban"
"hadhwanaag","8","lughaye","guban"
"heemaalcadde","9","zeylac","guban"
"karuure","10","lughaye","guban"
"lawyacaddo","11","zeylac","guban"
"lughaye","12","lughaye","guban"
"sheikhawaare","13,14","zeylac","guban"
"xajiinle","15","lughaye","guban"
"zeylac","16","zeylac","guban"
"biyoguure","RC","berbera","guban"
"geeri","20","berbera","guban"
"siyaara","RC","berbera","guban"
"gargaara","23","baki","guban"
"hulka","24","baki","guban"
"beeyokulul","25","hargeysa","guban"
"faruur","29","hargeysa","guban"
