"settlements","nb_cluster","district","lhz"
"baraagahaqol","2","ceerigaabo","nip"
"biyoguduud","3","ceerigaabo","nip"
"cadaadkulaale","4","ceelafweyn","nip"
"cawsane","RC","laasqoray","nip"
"ceeryaansatellite","5","ceelafweyn","nip"
"damalaxagarre","6","ceerigaabo","nip"
"damalexagare","7","ceerigaabo","nip"
"dharyo","8","ceerigaabo","nip"
"dibqarax","9","ceerigaabo","nip"
"fadhigaab","10","ceelafweyn","nip"
"garabad","11","ceerigaabo","nip"
"hadla","12","ceelafweyn","nip"
"kaladhac","13","laasqoray","nip"
"mindigle","14","laasqoray","nip"
"shimbiraale","15","ceerigaabo","nip"
"wardher","16","ceerigaabo","nip"
"canjiid","18","laascaanood","nip"
"darantaleex","19","taleex","nip"
"faleeryale","20","laascaanood","nip"
"gorofley","21","xudun","nip"
"hangey","22","xudun","nip"
"kalax","23","laascaanood","nip"
"laasocudan","25","xudun","nip"
"oog","26","caynabo","nip"
"sarmaanyo","27","xudun","nip"
"tukoraq","28","laascaanood","nip"
"waridaad","29","caynabo","nip"
"xudun","RC","xudun","nip"
"carooley","30","laascanood","nip"
"godaalo","RC","laascanood","nip"
