"settlements","nb_cluster","district","lhz"
"aarag","1","baydhaba","bay"
"abrano","2","baydhaba","bay"
"baageyasharaaf","3","baydhaba","bay"
"barariya","4","buurhakaba","bay"
"biliil","5","baydhaba","bay"
"bullobilanbarow","6","baydhaba","bay"
"buulobakaaro","7","baydhaba","bay"
"buulojaiid","10","buurhakaba","bay"
"caliyowmuumin","11","baydhaba","bay"
"deynunaymainvillage","12","baydhaba","bay"
"dooygodobey","13","buurhakaba","bay"
"galoley","14","diinsoor","bay"
"golli","15","baydhaba","bay"
"goofdhuubow","RC","baydhaba","bay"
"gurbaan","16","diinsoor","bay"
"hasli","17","baydhaba","bay"
"hayaado","18","baydhaba","bay"
"ilbeete","19","diinsoor","bay"
"kaayow","20","baydhaba","bay"
"kerowmalaaq","RC","baydhaba","bay"
"kurman","21","diinsoor","bay"
"laantigaraska","22","baydhaba","bay"
"lowiiley","23","buurhakaba","bay"
"maaranka","24","baydhaba","bay"
"makaada","25","baydhaba","bay"
"moodamooda","26","baydhaba","bay"
"qaahirayarey","27","baydhaba","bay"
"raaxoole","28","diinsoor","bay"
"salmisga","29","buurhakaba","bay"
"sool","30","buurhakaba","bay"
"warabadadow","31","buurhakaba","bay"
