"settlements","nb_cluster","district","lhz"
"abashiiq","1","wanlaweyn","rainfed"
"alifoow","2","afgooye","rainfed"
"awguduud","3","wanlaweyn","rainfed"
"baldooska","4","afgooye","rainfed"
"buloadandhakadow","6","afgooye","rainfed"
"buloahmedmursal","7","wanlaweyn","rainfed"
"caanooley","8","afgooye","rainfed"
"hassanowaliyere","13","wanlaweyn","rainfed"
"warmuusow","RC","wanlaweyn","rainfed"
"banaankaboorow","RC","balcad","rainfed"
"biljamka","16","balcad","rainfed"
"buulomoobleen","17","jowhar","rainfed"
"cabdulecadde","18","balcad","rainfed"
"cadeyga","19","balcad","rainfed"
"caliyaalo","20","balcad","rainfed"
"cilaanley","21","balcad","rainfed"
"dhaygawaan","22","jowhar","rainfed"
"harerekulan","23","balcad","rainfed"
"iridashiikhcali","24","balcad","rainfed"
"jameecomubaarak","25","balcad","rainfed"
"kalatooxan","26","balcad","rainfed"
"maryamkeynaan","27","jowhar","rainfed"
"samad","28","balcad","rainfed"
