"settlements","nb_cluster","district","lhz"
"baxdo","1","cadaado","addun"
"elder","3","dhuusamarreeb","addun"
"galbarwaaqosaxqurun","4","cadaado","addun"
"qaayib","5","dhuusamareeb","addun"
"wargalo","RC","cadaado","addun"
"warshubo","6","ceelbuur","addun"
"xincaws","7","ceelbuur","addun"
"afbarwaaqo","8","hobyo","addun"
"bajeelo","9","hobyo","addun"
"ballibusle","10","gaalkacyo","addun"
"bandiiraaley","11","hobyo","addun"
"bitaale","12","hobyo","addun"
"booc","13","jariiban","addun"
"carfuuda","14","gaalkacyo","addun"
"ceelguula","15","hobyo","addun"
"celxagar","16,17","jariiban","addun"
"dagaari","18","gaalkacyo","addun"
"docol","19,RC","gaalkacyo","addun"
"elgorei","20","hobyo","addun"
"qorile","22,23","gaalkacyo","addun"
"gillabrugis","RC","hobyo","addun"
"laasocadale","24","gaalkacyo","addun"
"madlooyin","25","jariiban","addun"
"seego","26","hobyo","addun"
"semade","27","jariiban","addun"
"tawfiiq","28","jariiban","addun"
"xinlabi","29","hobyo","addun"
"suubanlaged","30","eyl","addun"
