"settlements","nb_cluster","district","lhz"
"adeyleyawmamo","1","wanlaweyn","rainfed"
"awcariif","2","wanlaweyn","rainfed"
"awguduud","3","wanlaweyn","rainfed"
"bananow","5","wanlaweyn","rainfed"
"buloadandhakadow","6","afgooye","rainfed"
"buloqataar","RC","wanlaweyn","rainfed"
"caanooley","7","afgooye","rainfed"
"haakow","11","wanlaweyn","rainfed"
"lafagaale","12","afgooye","rainfed"
"tabeelaha","13","wanlaweyn","rainfed"
"warmahan","15","afgooye","rainfed"
"banaankaboorow","16","balcad","rainfed"
"busatale","17","balcad","rainfed"
"buulomoobleen","18","jowhar","rainfed"
"cadagaboorow","19","balcad","rainfed"
"cadilow","20","jowhar","rainfed"
"ceelkacusub","21","balcad","rainfed"
"dabeyley","22","jowhar","rainfed"
"harericaadle","24","balcad","rainfed"
"jameecomisro","25","balcad","rainfed"
"jameecomubaarak","26","balcad","rainfed"
"kalatooxan","27","balcad","rainfed"
"moorajiido","RC","jowhar","rainfed"
"shiikhahmedgabale","28","balcad","rainfed"
