"settlements","nb_cluster","district","lhz"
"abassegaagaab","1","borama","westgolis"
"aroorseel","2","borama","westgolis"
"boon","3","borama","westgolis"
"carawayne","4","baki","westgolis"
"celi","5","baki","westgolis"
"dhagaxamadow","6","borama","westgolis"
"geelkagoojis","7","zeylac","westgolis"
"qabuurta","8","baki","westgolis"
"quud","9","baki","westgolis"
"xalimaale","10","borama","westgolis"
"xariirad","11","borama","westgolis"
"geedlibaax","12","sheikh","westgolis"
"suuqsade","13","sheikh","westgolis"
"alaalacadka","RC","hargeysa","westgolis"
"booclay","14","hargeysa","westgolis"
"caadda","15","gebiley","westgolis"
"darasalaam","16","hargeysa","westgolis"
"debbis","17","hargeysa","westgolis"
"dheenta","18","hargeysa","westgolis"
"dooxoguban","19","hargeysa","westgolis"
"geedcaday","20","berbera","westgolis"
"hadhley","21","gebiley","westgolis"
"illintabari","22","hargeysa","westgolis"
"laasciidle","23","berbera","westgolis"
"laasodawaco","24","berbera","westgolis"
"madheera","25","hargeysa","westgolis"
"maqaaxidainantabari","26","hargeysa","westgolis"
"saclamood","27","gebiley","westgolis"
"xabaalotumaalood","28","berbera","westgolis"
"xumbaweyne","RC","hargeysa","westgolis"
