"settlements","nb_cluster","district","lhz"
"aboow","1","luuq","riverine"
"banmunduli","2","luuq","riverine"
"bantaal","3,4,5","doolow","riverine"
"boore","6","doolow","riverine"
"duuraay","7","luuq","riverine"
"geedweynesectin","8,RC,9","doolow","riverine"
"halbow","10,11,12","luuq","riverine"
"halbow","13,14","luuq","riverine"
"helishiid","15","luuq","riverine"
"karantiil","16","luuq","riverine"
"madhoweey","18","luuq","riverine"
"miradhuubow","19","luuq","riverine"
"odaa","20","doolow","riverine"
"saadhuumaay","21","doolow","riverine"
"shadiiley","22,RC,23","luuq","riverine"
"surgaduud","RC","doolow","riverine"
"wariiriyaale","26,27","luuq","riverine"
"haadfuul","28","doolow","riverine"
