"settlements","nb_cluster","district","lhz"
"adisoone","1","qardho","nip"
"cambaarsare","RC","qardho","nip"
"ceeldoofar","2","bossaso","nip"
"dhudhub","3","qardho","nip"
"dhuudo","RC","bandarbeyla","nip"
"hulcanood","4","bandarbeyla","nip"
"jiingadda","RC","bossaso","nip"
"libow","5","qardho","nip"
"qalwo","6","qardho","nip"
"qoton","7","bandarbeyla","nip"
"rako","8,9","qardho","nip"
"sheerbi","10,11","qardho","nip"
"shire","12","qardho","nip"
"uusgure","13","qardho","nip"
"xaajikhayr","14","qardho","nip"
"xiddo","15","qardho","nip"
"xiriiro","16,17,18","iskushuban","nip"
"xuubabays","19","iskushuban","nip"
"baarweyn","21","eyl","nip"
"rabaable","25","burtinle","hawd"
"qarxis","27","eyl","nip"
"siigadheer","28","garoowe","nip"
"sinujif","29,30","garoowe","nip"
