"settlements","nb_cluster","district","lhz"
"afruugleey","1","iskushuban","deeh"
"dhariinbaar","2","bandarbeyla","deeh"
"durdura","3","bandarbeyla","deeh"
"falfalax","4","bandarbeyla","deeh"
"foocaar","5,6","iskushuban","deeh"
"garmaal","7,8","bandarbeyla","deeh"
"gumbax","9","iskushuban","deeh"
"hurdiya","10,11","iskushuban","deeh"
"kabal","12","bandarbeyla","deeh"
"kulule","13","bandarbeyla","deeh"
"qundhed","14,15","bari","deeh"
"suuj","16","bandarbeyla","deeh"
"xaafuun","17","iskushuban","coastal"
"dhinawdadhigdhigley","18","jariiban","deeh"
"doomariyo","19","jariiban","deeh"
"ilfoocshe","20","jariiban","deeh"
"kulub","21,22,RC","jariiban","deeh"
"maraya","23","eyl","deeh"
"dhalinraqas","RC","eyl","deeh"
"dhinowda","RC","eyl","deeh"
"illig","25","eyl","deeh"
"jifle","26","eyl","deeh"
"kabaalwaq","27","eyl","deeh"
"qulule","28","eyl","deeh"
