"settlements","nb_cluster","district","lhz"
"ufeyn","1,2,3","bossaso","eastgolis"
"baargaal","4,5,6","iskushuban","eastgolis"
"balidhidin","RC,7","qandala","eastgolis"
"ballikhadar","8","bossaso","eastgolis"
"beelwacatay","9","iskushuban","eastgolis"
"buuroxamur","10","caluula","eastgolis"
"ceelquud","12","caluula","eastgolis"
"coomaay","13","iskushuban","eastgolis"
"dibir","14","caluula","eastgolis"
"galgala","15","bossaso","eastgolis"
"geesaley","16","caluula","eastgolis"
"gumbah","17","iskushuban","eastgolis"
"hursale","18","caluula","eastgolis"
"kayaxa","19","qandala","eastgolis"
"moqor","RC","iskushuban","eastgolis"
"muudiye","20,RC,21","iskushuban","eastgolis"
"sayn","22","caluula","eastgolis"
"tager","23","iskushuban","eastgolis"
"tooxin","24","caluula","eastgolis"
"unuun","25","iskushuban","eastgolis"
"xamure","26","iskushuban","eastgolis"
"xarago","27","qandala","eastgolis"
"xoogaad","28","caluula","eastgolis"
