"settlements","nb_cluster","district","lhz"
"cilaamo","2","ceelafweyn","eastgolis"
"dagaar","3","ceerigaabo","eastgolis"
"dayaxa","RC","ceerigaabo","eastgolis"
"dubad","RC","ceerigaabo","eastgolis"
"gudmoafaafsatellite","5","ceerigaabo","eastgolis"
"hadaaftimo","6,7","ceerigaabo","eastgolis"
"illad","8","ceelafweyn","eastgolis"
"kalmac","9","ceelafweyn","eastgolis"
"laako","10","laasqoray","eastgolis"
"laasxuluys","11","laasqoray","eastgolis"
"laasasurad","12","ceerigaabo","eastgolis"
"madarmugle","13","ceerigaabo","eastgolis"
"midhishi","14","ceerigaabo","eastgolis"
"mushxaleed","15","laasqoray","eastgolis"
"raqassatellite","16","ceelafweyn","eastgolis"
"rukuuda","17","ceelafweyn","eastgolis"
"ulxeed","18","laasqoray","eastgolis"
"xamaas","19","ceerigaabo","eastgolis"
"xiis","20","ceerigaabo","eastgolis"
"ufeyn","22","bossaso","eastgolis"
"baargaal","23","iskushuban","eastgolis"
"balidhidin","24","qandala","eastgolis"
"beelwacatay","25","iskushuban","eastgolis"
"ceellaas","26","caluula","eastgolis"
"dibir","RC","caluula","eastgolis"
"gondoli","RC","iskushuban","eastgolis"
"muudiye","28,29","iskushuban","eastgolis"
"tager","30","iskushuban","eastgolis"
"unuun","31","iskushuban","eastgolis"
"ximistiyo","32","caluula","eastgolis"
