"settlements","nb_cluster","district","lhz"
"booso","1","cabudwaaq","hawd"
"dibara","2","cabudwaaq","hawd"
"huurshe","3","cabudwaaq","hawd"
"mirjicle","4","cabudwaaq","hawd"
"qabriile","5","cabudwaaq","hawd"
"bandiiradleey","7","cadaado","hawd"
"hilmo","9","cadaado","hawd"
"godinlabe","10","dhuusamarreeb","hawd"
"mareerguur","11","dhuusamarreeb","hawd"
"mirig","12","dhuusamarreeb","hawd"
"bacaadweyn","RC","galdogob","hawd"
"bandiidley","13","gaalkacyo","hawd"
"beerdhagaxtur","14","gaalkacyo","hawd"
"bursaalax","15","galdogob","hawd"
"ceelberde","16","gaalkacyo","hawd"
"dhardhar","RC","gaalkacyo","hawd"
"heema","17","gaalkacyo","hawd"
"sadaxhiglo","19","gaalkacyo","hawd"
"tarocasso","20","gaalkacyo","hawd"
"xarfo","21","gaalkacyo","hawd"
"dheganle","23","burtinle","hawd"
"dudumaale","24","garoowe","hawd"
"hayanle","25","burtinle","hawd"
"jalam","26","burtinle","hawd"
"kalabayr","27","burtinle","hawd"
"mayle","RC","burtinle","hawd"
"rabbaable","28","garoowe","hawd"
"sallax","29","burtinle","hawd"
"xaliimodheer","30","garoowe","hawd"
"yoonbays","32","burtinle","hawd"
