"settlements","nb_cluster","district","lhz"
"barookhle","1","qardho","nip"
"cammaan","2","iskushuban","nip"
"dalwayn","3","qardho","nip"
"dhuudo","4","bandarbeyla","nip"
"duudhooyo","5","iskushuban","nip"
"jedad","6","qardho","nip"
"kalmasso","RC","iskushuban","nip"
"meygaag","7","qardho","nip"
"kubo","8","taleex","nip"
"rako","9,10,11","qardho","nip"
"sheerbi","12,13","qardho","nip"
"ufeynsare","14","bossaso","nip"
"uusgure","15","qardho","nip"
"xaajikhayr","16","qardho","nip"
"xiddo","RC","qardho","nip"
"xiriiro","17,18","iskushuban","nip"
"xumbays","RC","qardho","nip"
"yakayake","19","qardho","nip"
"bandunbuto","21","eyl","nip"
"timirka","RC","garoowe","hawd"
"qarxis","26,27","eyl","nip"
"sinujif","28,29,30","garoowe","nip"
