"settlements","nb_cluster","district","lhz"
"aboow","1","luuq","riverine"
"aroosow","2","luuq","riverine"
"bantaal","3,4,5,6","doolow","riverine"
"boore","7","doolow","riverine"
"geedweynesectin","8,9,RC","doolow","riverine"
"haanoy","10","luuq","riverine"
"halbow","11,12","luuq","riverine"
"halbow","13,14","luuq","riverine"
"helishiid","15","luuq","riverine"
"karantiil","16","luuq","riverine"
"madhoweey","17","luuq","riverine"
"miradhuubow","18","luuq","riverine"
"odaa","19","doolow","riverine"
"saadhuumaay","20","doolow","riverine"
"shadiiley","RC,21,22","luuq","riverine"
"surgaduud","23,24","doolow","riverine"
"warcilaan","26","luuq","riverine"
"wariiriyaale","27","luuq","riverine"
"haadfuul","28","doolow","riverine"
