"SurveyID","Old_Name","Agency","District","Region","LHZ","Start_Date","End_Date","Recall_Days","Quality_Score","UnkCode","InjCode","ViolCode"
"SOM_2023_07_lhz_addun_pastoral","Addun Pastoral Gu 2023.as","FSNAU",NA,NA,"addun","2023-07-13","2023-07-21","93","0.94","0",NA,NA
"SOM_2023_07_lhz_coastal_NA","Coastal Deeh 2023 Gu.as","FSNAU",NA,NA,"coastal","2023-07-15","2023-07-23","93","1","0",NA,NA
"SOM_2023_07_lhz_hawd_pastoral","Hawd Pastoral Central Ne 2023 Gu.as","FSNAU",NA,NA,"hawd","2023-07-13","2023-07-21","93","0.94","0",NA,NA
"SOM_2023_12_lhz_nw_NA","NW Agropastoral_1223.as","FSNAU",NA,NA,"nw","2023-12-02","2023-12-10","90","0.84","0",NA,NA
"SOM_2023_07_lhz_shabelle_NA","Shabelle_AP Agropastoral_2023_Gu Rev.as","FSNAU",NA,NA,"shabelle","2023-07-14","2023-07-20","93","0.95","0",NA,NA
"SOM_2023_01_lhz_nip_NA","SOM-NW NIP_0823.as","FSNAU",NA,NA,"nip","2023-01-08","2023-09-07","93","0.81","0",NA,NA
"SOM_2016_07_lhz_addun_NA","SOM_201607_LHZ_Addun.as","FSNAU",NA,NA,"addun","2016-07-07","2016-11-07","160","0.93","0",NA,NA
"SOM_2016_07_lhz_bay_NA","SOM_201607_LHZ_Bay_AgroPast Agropastoral.as","FSNAU",NA,NA,"bay","2016-07-10","2016-07-17","160","0.78","0","0",NA
"SOM_NA_NA_lhz_coastal_NA","SOM_201607_LHZ_coastal_deeh.as","FSNAU",NA,NA,"coastal","2016-07-14","2016-07-16","160","0.91","0",NA,NA
"SOM_2016_07_lhz_guban_NA","SOM_201607_LHZ_Guban_Pastoralpastoral.as","FSNAU",NA,NA,"guban","2016-07-07","2016-07-15","160","0.84","0",NA,NA
"SOM_2016_07_lhz_hawd_ne","SOM_201607_LHZ_Hawd_NE.as","FSNAU",NA,NA,"hawd","2016-07-07","2016-07-18","160","0.86","0",NA,NA
"SOM_NA_NA_lhz_ngedo_past","SOM_201607_LHZ_Ngedo past.as","FSNAU",NA,NA,"ngedo","2016-07-12","2016-12-07","160","0.94","0",NA,NA
"SOM_2016_07_lhz_ngedo_riverine","SOM_201607_LHZ_Ngedo riverine.as","FSNAU",NA,NA,"ngedo","2016-07-13","2016-12-07","160","0.94","0",NA,NA
"SOM_2016_07_lhz_nw_NA","SOM_201607_LHZ_NW AgroPast Agropastoral.as","FSNAU",NA,NA,"nw","2016-07-07","2016-12-07","160","1","0",NA,NA
"SOM_2016_06_lhz_nw_pastoral","SOM_201607_LHZ_NW Hawd.as","FSNAU",NA,NA,"nw","2016-04-06","2016-12-07","160","0.9","0",NA,NA
"SOM_2016_07_lhz_nip_pastoral","SOM_201607_LHZ_NWNE_NIP pastoral.as","FSNAU",NA,NA,"nip","2016-07-07","2016-07-16","160","0.89","0",NA,NA
"SOM_2016_07_lhz_shabelle_NA","SOM_201607_LHZ_Shabelle_AP Agropastoral.as","FSNAU",NA,NA,"shabelle","2016-07-07","2016-07-14","160","0.94","0",NA,NA
"SOM_2016_07_lhz_westgolis_NA","SOM_201607_LHZ_WestGolis.as","FSNAU",NA,NA,"westgolis","2016-07-08","2016-11-07","160","0.91","0",NA,NA
"SOM_2016_12_lhz_addun_pastoral","SOM_201612_LHZ_Addun.as","FSNAU",NA,NA,"addun","2016-12-18","2016-12-24","90","0.92","0",NA,NA
"SOM_2016_11_lhz_bay_agro","SOM_201612_LHZ_Bay Agro PastAgropastoral.as","FSNAU",NA,NA,"bay","2016-11-20","2016-12-23","90","0.88","0",NA,NA
"SOM_2016_12_lhz_coastal_ne","SOM_201612_LHZ_coastal deeh.as","FSNAU",NA,NA,"coastal","2016-12-17","2016-12-28","90","0.87","0",NA,NA
"SOM_2016_12_lhz_guban_pastoral","SOM_201612_LHZ_Guban Pastoral.as","FSNAU",NA,NA,"guban","2016-12-12","2016-12-26","90","0.78","0",NA,NA
"SOM_2016_12_lhz_hawd_NA","SOM_201612_LHZ_Hawd.as","FSNAU",NA,NA,"hawd","2016-12-18","2016-12-24","90","0.84","0",NA,NA
"SOM_2016_12_lhz_ngedo_past","SOM_201612_LHZ_Ngedo past.as","FSNAU",NA,NA,"ngedo","2016-12-17","2016-12-22","90","0.91","0",NA,NA
"SOM_2016_12_lhz_ngedo_riverine","SOM_201612_LHZ_Ngedo riverine.as","FSNAU",NA,NA,"ngedo","2016-12-17","2016-12-22","90","0.95","0",NA,NA
"SOM_2016_12_lhz_nip_ne","SOM_201612_LHZ_NIP_NW_NE pastoral.as","FSNAU",NA,NA,"nip","2016-12-16","2016-12-26","90","0.91","0",NA,NA
"SOM_2016_12_lhz_nw_NA","SOM_201612_LHZ_NW AgroPast Agropastoral.as","FSNAU",NA,NA,"nw","2016-12-10","2016-12-24","90","0.94","0",NA,NA
"SOM_2016_12_lhz_shabelle_NA","SOM_201612_LHZ_Shabelle AP Agropastoral.as","FSNAU",NA,NA,"shabelle","2016-12-17","2016-12-22","90","0.88","0",NA,NA
"SOM_2016_12_lhz_shabelle_riverine","SOM_201612_LHZ_Shabelle Riverine.as","FSNAU",NA,NA,"shabelle","2016-12-17","2016-12-23","90","0.88","0",NA,NA
"SOM_2016_12_lhz_westgolis_NA","SOM_201612_LHZ_West_Golis.as","FSNAU",NA,NA,"westgolis","2016-12-18","2017-02-21","90","0.87","0",NA,NA
"SOM_2017_12_lhz_addun_NA","SOM_201712_LHZ_Addun.as","FSNAU",NA,NA,"addun","2017-12-09","2017-12-16","101","0.82","0",NA,NA
"SOM_2007_08_lhz_bay_NA","SOM_201712_LHZ_Bay_AgroPast Agropastoral.as","FSNAU",NA,NA,"bay","2007-08-12","2017-12-15","101","0.95","0",NA,NA
"SOM_2017_12_lhz_coastal_NA","SOM_201712_LHZ_coastal_deeh.as","FSNAU",NA,NA,"coastal","2017-12-08","2017-12-16","101","0.76","0",NA,NA
"SOM_2017_12_lhz_guban_past","SOM_201712_LHZ_Guban.as","FSNAU",NA,NA,"guban","2017-12-09","2017-12-16","101","0.88","0",NA,NA
"SOM_2017_12_lhz_nip_ne","SOM_201712_LHZ_NE_NIP pastoral.as","FSNAU",NA,NA,"nip","2017-12-08","2017-12-16","101","0.94","0",NA,NA
"SOM_2017_12_lhz_hawd_ne","SOM_201712_LHZ_NE_hawd.as","FSNAU",NA,NA,"hawd","2017-12-09","2017-12-17","101","0.86","0",NA,NA
