"SurveyID","Old_Name","Agency","District","Region","LHZ","Start_Date","End_Date","Recall_Days","Quality_Score","UnkCode","InjCode","ViolCode","lshtm_survey_design","lshtm_cdr_est","lshtm_cdr_log_se","lshtm_cdr_lci","lshtm_cdr_uci","lshtm_cdr_u5_est","lshtm_cdr_u5_log_se","lshtm_cdr_u5_lci","lshtm_cdr_u5_uci","lshtm_cdr_f_est","lshtm_cdr_f_log.se","lshtm_cdr_f_lci","lshtm_cdr_f_uci","lshtm_cdr_m_est","lshtm_cdr_m_log.se","lshtm_cdr_m_lci","lshtm_cdr_m_uci","lshtm_cdr_inj_est","lshtm_cdr_inj_log_se","lshtm_cdr_viol_est","lshtm_cdr_viol_log_se","lshtm_cbr_est","lshtm_in_migration_rate_est","lshtm_out_migration_rate_est","lshtm_net_migration_rate_est","lshtm_mean_n","lshtm_prop_f","lshtm_prop_u5","lshtm_prop_unk","lshtm_prop_inj","lshtm_prop_oth","lshtm_prop_viol","lshtm_prop_died_u1","lshtm_prop_inj_m","lshtm_prop_viol_u18","lshtm_prop_viol_f_o18","cdr_rr_males"
"SOM_2000_08_admin2_dhuusamarreeb_idp","som_202008_admin2_dhuusamarreeb_idp.as","FSNAU","dhuusamarreeb","Galgaduud","idp","2020-08-01","2020-08-06",98,0.854206974128234,3,2,0,"SRS or exhaustive",0.0528708892883594,0.999866474292923,0.00744925927128174,0.375249515736212,1.47534332003465e-10,0.0410528459056668,1.36128232845547e-10,1.59896141048164e-10,4.92503713562176e-11,0.0334061576206382,4.61289547665303e-11,5.25830054247245e-11,0.109485854427617,1.00142296188189,0.0153790524402639,0.779446742008738,2.45444151292981e-11,0.0282338241539765,0.0528708892883594,0.999866474292923,123.506397377612,8.9587115221938e-10,86.8404356561768,-86.8404356552809,6.35234899328859,0.517098445595855,0.168999929022642,NA,NA,NA,Inf,NA,NA,0,0,NA
"SOM_2002_06_admin2_baydhaba_idp","som_202106_admin2_baydhaba_idp.as","FSNAU","baydhaba","Bay","idp","2021-06-14","2021-06-19",90,0.94,1,2,0,"multi-stage cluster",0.777777777778329,0.250479721658282,0.476039386831108,1.27077357113818,1.17496708611985,0.327563702243368,0.618298009949933,2.23281917659213,0.725979165462874,0.362740786147763,0.356576704234448,1.47807117634819,0.831726589338373,0.367418440887054,0.404788061052922,1.70896621212847,0.0370370371103732,1.00299471385872,3.22767473325531e-11,0.0168556900100318,71.6481481481611,1.17810127763819e-09,110.851851851854,-110.851851850676,4.94320137693632,0.510166666666667,0.283695890410959,0.333333333333333,0.0476190476190476,0.619047619047619,0,0.333333333333333,1,NA,NA,1.14566178880364
"SOM_2002_07_admin2_baydhaba_idp","som_202007_admin2_baydhaba_idp.as","FSNAU","baydhaba","Bay","idp","2020-01-08","2020-08-28",98,0.92,1,2,0,"multi-stage cluster",0.520837854506481,0.339857411226326,0.267553152505723,1.01389973598279,0.638093816224083,0.505882008115983,0.236738601219801,1.71988731962381,0.34027783685421,0.477433477247929,0.133485497065193,0.867427614234602,0.708924474366025,0.368010704065546,0.34462194917906,1.45833401369921,0.13020946363057,0.738281025105226,3.06589281204231e-11,0.0249370087294909,61.7843904895059,1.11905087639544e-09,134.6582869643,-134.658286963181,4.65481171548117,0.510208421948107,0.34010010313303,0.25,0.25,0.5,0,0.4,1,NA,NA,2.08336952215245
"SOM_2002_11_admin2_baydhaba_idp","som_202010_admin2_baydhaba_idp.as","FSNAU","baydhaba","Bay","idp","2020-01-11","2020-11-30",96,0.93,1,2,0,"multi-stage cluster",0.238777459407836,0.444369411359442,0.0999397935035153,0.570490223388896,0.127802838822445,1.00047535813394,0.0179853412796702,0.908159892942285,0.0766213069681536,0.998825188563998,0.0108176366715208,0.542708621095026,0.414016958134695,0.50487438248203,0.153907711222605,1.11371964576347,3.27094870006351e-11,0.0301603059517411,3.27094870006351e-11,0.0301603059517411,59.5550780006621,1.19389627552318e-09,107.489652976756,-107.489652975562,4.53693693693694,0.519388729703916,0.311387787677775,0,0,1,0,1,NA,NA,NA,5.40341811588746
"SOM_2008_11_admin2_baardheere_idp","som_201906_admin2_baardheere_idp.as","FSNAU","baardheere","ngedo","idp","2019-06-17","2019-06-17",117,0.96,1,2,0,"multi-stage cluster",0.320172637141494,0.313201762137149,0.173293187862975,0.591543838729511,0.669710344221216,0.408846386259701,0.300517617570737,1.49246473062874,0.384135215595916,0.351590458569563,0.192843179228982,0.765180622155728,0.256186093579206,0.470091431898543,0.101954323270964,0.643732530781899,2.44623200270527e-11,0.0360419653367526,2.44623200270527e-11,0.0360419653367526,52.5883556413716,8.92874680987424e-10,109.85123178418,-109.851231783287,5.04174950298211,0.500093650496348,0.239038145258334,0.1,0,0.9,0,0.6,NA,NA,NA,0.666916448110023
"SOM_2008_11_admin2_dhuusamarreeb_idp","SOM_201611_admin2_Dhuusamarreeb_dhobley_IDP.as","FSNAU","dhuusamarreeb","Galgaduud","idp","2016-11-17","2016-11-17",90,0.87,3,2,0,"multi-stage cluster",0.370438970430851,0.323595861146603,0.196456458425882,0.698500990567539,0.173790406926778,0.998118536511256,0.0245702824869515,1.22925349172584,0.495662949194542,0.444228581070848,0.207515936456434,1.18391755062055,0.246093269369648,0.55344069213474,0.0831766659591968,0.72811162278074,0.123479656735096,0.56069994862931,2.92617673401742e-11,0.0346576074205491,9.01401506526189,1.06805450791636e-09,159.247598770625,-159.247598769556,5.56043956043956,0.498240414891647,0.236836349704537,0.222222222222222,0.333333333333333,0.444444444444444,0,0,0.333333333333333,NA,NA,0.496493170953271
"SOM_2008_11_admin2_galkacyo_idp","SOM_201811_admin2_Gaalkayo IDP.as","FSNAU","galkacyo","mudug","idp","2018-11-05","2018-11-09",87,0.89,1,2,0,"multi-stage cluster",0.482017055991908,0.273719900945118,0.281881985848384,0.824247216677673,0.613904114131432,0.401881891842359,0.2792619532957,1.34955104660618,0.14490076700737,0.69421205863168,0.0371659681450226,0.564931665371832,0.835393337475589,0.295946395655403,0.467709670529039,1.49212657396887,2.77114641545603e-11,0.040505231480826,2.77114641545603e-11,0.040505231480826,35.1872450871494,1.01146844164145e-09,104.208379681128,-104.208379680116,5.90873015873016,0.511774193548387,0.301987185152452,0.461538461538462,0,0.538461538461538,0,0.4,NA,NA,NA,5.76527891969751
"SOM_2010_01_admin2_dhuusamarreeb_urban","som_202010_admin2_dhuusamarreeb_urban.as","FSNAU","dhuusamarreeb","Galgaduud","other","2020-10-29","2020-11-04",95,0.83,1,2,0,"multi-stage cluster",2.88333546554071e-11,0.0237868219823204,2.75199361705396e-11,3.02094574468696e-11,1.452586681393e-10,0.0393421242290185,1.3447865772701e-10,1.56902820315444e-10,5.84223986661304e-11,0.0266571956474888,5.5448310898962e-11,6.15560079390655e-11,6.04844536009155e-11,0.0340637800761388,5.65780645398692e-11,6.46605562978092e-11,2.88333546554071e-11,0.0237868219823204,2.88333546554071e-11,0.0237868219823204,1.05241744492236e-09,1.05241744492236e-09,58.9505985908469,-58.9505985897945,5.41914893617021,0.514192558496356,0.190148756509083,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOM_2010_11_admin2_bossaso_urban","som_202011_admin2_bossaso_urban.as","FSNAU","bossaso","Bari","other","2020-11-04","2020-11-10",95,0.95,1,2,0,"multi-stage cluster",0.0417959729596711,1.00139597279316,0.00587122844772738,0.297536260290084,0.178833576372021,0.984073107151012,0.0259889732529936,1.23057758868268,0.0810028148537401,1.00205941715457,0.0113639657232102,0.577391394346424,5.96028165832237e-11,0.0295117189569041,5.62530275027303e-11,6.31520809165511e-11,2.79761423189559e-11,0.0191678370221077,2.79761423189559e-11,0.0191678370221077,54.9199084668329,1.02112919464189e-09,30.5110602593565,-30.5110602583353,5.60402684563758,0.515981735159817,0.233714349430652,0,0,1,0,1,NA,NA,NA,7.35811671370228e-10
"SOM_2013_11_admin2_hargeysa_idp","SOM_201611_admin2_Hargeysa IDP.as","FSNAU","hargeysa","Woqooyi Galbeed","idp","2016-11-17","2016-11-23",90,0.84,1,2,0,"multi-stage cluster",0.525921880376604,0.285912851609916,0.300294450858337,0.92107537607928,1.01754707042833e-10,0.0567277605704824,9.10472564520952e-11,1.13721388308065e-10,0.624658391140758,0.424100338605461,0.272045209115688,1.43431346168874,0.419762414473411,0.504035067572738,0.156300453509017,1.12731908736518,2.85633572452756e-11,0.0481048313504841,2.85633572452756e-11,0.0481048313504841,22.1494022699453,1.04256253945256e-09,57.5884459008444,-57.5884458998018,5.6936170212766,0.518113963225924,0.197349054462841,0.0769230769230769,0,0.923076923076923,0,NA,NA,NA,NA,0.671987153981613
