"region","district","date","n_idp","n_ret"
"Awdal","Borama",2016-10-15,3900,3570
"Awdal","Borama",2021-10-30,16404,5568
"Awdal","Lughaye",2021-10-30,4740,720
"Awdal","Zeylac",2021-10-30,0,120
"Bakool","Ceel Barde",2020-11-30,4422,3990
"Bakool","Waajid",2020-11-30,34170,83166
"Bakool","Xudur",2020-11-30,3282,768
"Banadir","Banadir",2021-12-30,136058,25375
"Bari","Bossaso",2021-08-30,54324,42570
"Bari","Iskushuban",2021-08-30,1500,180
"Bari","Qardho",2021-08-30,22086,4338
"Bay","Baydhaba",2020-11-30,141212,34722
"Bay","Buur Hakaba",2020-11-30,6681,6976
"Bay","Diinsoor",2020-11-30,16932,15114
"Bay","Qansax Dheere",2020-11-30,4830,25208
"Galgaduud","Cabudwaaq",2021-11-30,20682,7080
"Galgaduud","Cadaado",2021-11-30,16296,5496
"Galgaduud","Dhuusamarreeb",2021-11-30,822,342
"Gedo","Baardheere",2021-03-01,10828,2886
"Gedo","Belet Xaawo",2021-03-01,29916,36104
"Gedo","Ceel Waaq",2021-03-01,3246,4974
"Gedo","Doolow",2016-10-15,27018,5382
"Gedo","Doolow",2021-03-01,258,2976
"Gedo","Garbahaarey",2021-03-01,19338,8988
"Gedo","Luuq",2021-03-01,1620,750
"Hiraan","Belet Weyne",2016-10-15,16806,2832
"Hiraan","Belet Weyne",2020-03-31,245928,37725
"Hiraan","Bulo Burto",2020-03-31,25878,12226
"Hiraan","Jalalaqsi",2020-03-31,11028,3702
"Lower Juba","Afmadow",2016-10-15,29022,8916
"Lower Juba","Afmadow",2021-03-01,85290,28491
"Lower Juba","Badhaadhe",2021-03-01,7068,7080
"Lower Juba","Jamaame",2021-03-01,1002,1344
"Lower Juba","Kismaayo",2016-10-15,59592,6360
"Lower Juba","Kismaayo",2021-03-01,52364,22643
"Lower Shabelle","Afgooye",2020-03-31,33887,24372
"Lower Shabelle","Baraawe",2020-03-31,14334,5328
"Lower Shabelle","Marka",2020-03-31,62555,12360
"Lower Shabelle","Qoryooley",2020-03-31,15990,12056
"Middle Shabelle","Balcad",2016-10-15,16374,3270
"Middle Shabelle","Balcad",2020-03-31,210500,78114
"Middle Shabelle","Cadale",2020-03-31,18232,8929
"Middle Shabelle","Jowhar",2016-10-15,29364,29208
"Middle Shabelle","Jowhar",2020-03-31,46140,64823
"Mudug","Gaalkacyo",2021-10-15,78512,35958
"Mudug","Galdogob",2021-10-15,4756,1294
"Mudug","Hobyo",2021-10-15,54,6
"Mudug","Jariiban",2021-10-15,22292,4578
"Nugaal","Burtinle",2021-08-30,7380,830
"Nugaal","Eyl",2021-08-30,4026,1128
"Nugaal","Garoowe",2021-08-30,67998,9696
"Sool","Laas Caanood",2021-10-30,660,600
"Sool","Xudun",2021-10-30,3000,1800
"Togdheer","Burco",2021-10-30,52854,15384
"Togdheer","Owdweyne",2021-10-30,2580,540
"Woqooyi Galbeed","Gebiley",2021-10-30,174,1009
"Woqooyi Galbeed","Hargeysa",2021-10-30,19992,10782
