"district","tm","y","m","pop","pop_low","pop_upp","pop_u5","pop_u5_low","pop_u5_upp","pop_u5_alt","prop_idp","dep_rate","arr_rate"
"Adan Yabaal","1",2013,1,73664,36927,117840,17909,8720,29318,15101,0,0,0
"Afgooye","1",2013,1,370921,233264,543962,83340,47780,132289,76039,0.103956291767533,0,0
"Afmadow","1",2013,1,151955,61091,249681,36919,14553,62115,31151,0.0753648007831334,0,0
"Baardheere","1",2013,1,150363,118137,173377,38894,30165,45667,30824,0.101471391961536,0,0
"Badhaadhe","1",2013,1,68969,50030,102410,16767,11932,25560,14139,0.0106718740655691,0,0
"Baki","1",2013,1,64392,35491,94696,13908,7411,21128,13200,0,0,0
"Balcad","1",2013,1,184170,139557,207592,43381,31326,52626,37755,0.104681120570025,0,0
"Banadir","1",2013,1,1622420,1363287,1901111,389997,324157,456550,332596,0.223780447924547,0,0
"Bandarbeyla","1",2013,1,27879,15131,46714,7312,3872,12481,5715,0,0,0
"Baraawe","1",2013,1,81167,70189,106023,19721,16587,26295,16639,0.184137309896074,0,0
"Baydhaba","1",2013,1,374025,308548,467924,106852,86805,135214,76675,0.0654770030391757,0,0
"Belet Weyne","1",2013,1,247115,229900,272479,62905,57693,69844,50659,0.137786949698056,0,0
"Belet Xaawo","1",2013,1,80831,73216,85827,17565,15529,19124,16570,0.15111135495138,0,0
"Berbera","1",2013,1,144789,100434,172032,29831,20326,36176,29682,0.00334723352807607,0,0
"Borama","1",2013,1,626574,291159,1491460,132163,59973,321354,128448,0.000149072793648462,0,0
"Bossaso","1",2013,1,366139,107126,585302,90901,26306,146926,75059,0.104350353488863,0,0
"Bu'aale","1",2013,1,91901,76424,106524,22325,18066,26677,18840,0.110097425354098,0,0
"Bulo Burto","1",2013,1,150762,92107,222617,36605,21884,55502,30906,0.0695630415521011,0,0
"Burco","1",2013,1,419855,301912,476480,94957,67306,108905,86070,0.055956029021848,0,0
"Burtinle","1",2013,1,75788,47633,129810,19389,11907,33930,15536,0,0,0
"Buuhoodle","1",2013,1,63675,49382,81855,15068,11044,20715,13053,0,0,0
"Buur Hakaba","1",2013,1,149312,63193,192743,40957,17265,54231,30609,0.059682613099201,0,0
"Cabudwaaq","1",2013,1,90006,44460,120288,17737,8631,24487,18451,0.119337839740533,0,0
"Cadaado","1",2013,1,86393,38352,126660,19770,8760,29718,17711,0.208349319560131,0,0
"Cadale","1",2013,1,68808,49285,84933,16718,11707,21198,14106,0.0387730245970717,0,0
"Caluula","1",2013,1,47259,43261,51775,10443,9266,11822,9688,0,0,0
"Caynabo","1",2013,1,69783,57745,104546,16590,12913,25749,14306,0.0236886694247904,0,0
"Ceel Afweyn","1",2013,1,85108,32349,117575,18921,7017,26801,17447,0,0,0
"Ceel Barde","1",2013,1,52949,39464,66153,11943,8741,15128,10855,0.0507300119974774,0,0
"Ceel Buur","1",2013,1,97402,64695,138292,23177,14826,34057,19967,0.326393131010188,0,0
