"district","prop_pop_complete","prop_n_idp_complete","prop_pop_plausible","prop_prop_idp_plausible"
"Baki",1,1,1,1
"Borama",1,1,1,1
"Lughaye",1,1,1,1
"Zeylac",1,1,1,1
"Bandarbeyla",1,1,1,0.728
"Bossaso",1,1,1,1
"Caluula",1,1,1,1
"Iskushuban",1,1,1,1
"Qandala",1,1,1,1
"Qardho",1,1,1,0.98
"Gaalkacyo",1,1,1,1
"Galdogob",1,1,1,1
"Hobyo",1,1,1,0.77
"Jariiban",1,1,1,1
"Xarardheere",1,1,1,0.211
"Burtinle",1,1,1,1
"Eyl",1,1,1,1
"Garoowe",1,1,1,1
"Ceel Afweyn",1,1,1,0.937
"Ceerigaabo",1,1,1,1
"Laasqoray",1,1,1,1
"Caynabo",1,1,1,1
"Laas Caanood",1,1,1,0.211
"Taleex",1,1,1,1
"Xudun",1,1,1,0.993
"Burco",1,1,1,1
"Buuhoodle",1,1,1,0.966
"Owdweyne",1,1,1,1
"Sheikh",1,1,1,1
"Berbera",1,1,1,1
"Gebiley",1,1,1,1
"Hargeysa",1,1,1,1
"Ceel Barde",1,1,1,0.293
"Rab Dhuure",1,1,1,0.729
"Tayeeglow",1,1,1,1
"Waajid",1,1,1,0.999
"Xudur",1,1,1,0.908
"Banadir",1,1,1,1
"Baydhaba",0.779,0.779,1,0.942
"Buur Hakaba",1,1,1,1
"Diinsoor",1,1,1,0.854
"Qansax Dheere",1,1,1,0.478
"Cabudwaaq",1,1,1,0.769
"Cadaado",1,1,1,0.346
"Ceel Buur",1,1,1,1
"Ceel Dheer",1,1,1,0.568
"Dhuusamarreeb",1,1,1,0.004
"Baardheere",1,1,1,0.051
"Belet Xaawo",1,1,1,0.912
"Ceel Waaq",1,1,1,0.934
"Doolow",1,1,1,0.763
"Garbahaarey",1,1,1,1
"Luuq",1,1,1,0.971
"Belet Weyne",1,1,1,0.007
"Bulo Burto",1,1,1,0.469
"Jalalaqsi",1,1,1,0.779
"Afmadow",1,1,1,1
"Badhaadhe",1,1,1,1
"Jamaame",1,1,1,0.959
"Kismaayo",1,1,1,1
"Afgooye",1,1,1,0.868
"Baraawe",1,1,1,1
"Kurtunwaarey",1,1,1,0.772
"Marka",1,1,1,0.669
"Qoryooley",1,1,1,1
"Sablaale",1,1,1,0.69
"Wanla Weyn",1,1,1,0.708
"Bu'aale",0.789,0.789,1,1
"Jilib",0.789,0.789,1,1
"Saakow",0.789,0.789,1,0.916
"Adan Yabaal",1,1,1,0.999
"Balcad",1,1,1,0.879
"Cadale",1,1,1,1
"Jowhar",1,1,1,0.646
