"Counties","Actual Toll (Overall)","Actual Death Rate (Overall)","Actual Toll (Under 5)","Actual Death Rate (Under 5)"
NA,"7,200 (5,100 to 9,900)","0.384 (0.271 to 0.530)","1,200 (600 to 2,300)","0.289 (0.138 to 0.533)"
NA,"2,600 (1,300 to 4,700)","0.271 (0.141 to 0.500)","1,000 (400 to 2,100)","0.367 (0.155 to 0.755)"
NA,"26,900 (22,100 to 32,700)","0.486 (0.399 to 0.590)","16,300 (11,600 to 22,300)","1.136 (0.809 to 1.555)"
NA,"3,200 (2,200 to 4,700)","0.168 (0.114 to 0.242)","1,800 (1,000 to 2,900)","0.342 (0.199 to 0.560)"
NA,"9,800 (7,300 to 13,000)","0.451 (0.335 to 0.598)","6,400 (4,100 to 9,500)","0.950 (0.613 to 1.423)"
NA,"5,600 (3,700 to 8,500)","0.355 (0.231 to 0.535)","2,200 (1,200 to 3,900)","0.574 (0.300 to 1.026)"
NA,"7,000 (4,400 to 11,300)","0.343 (0.213 to 0.551)","3,300 (1,700 to 6,000)","0.606 (0.315 to 1.080)"
NA,"8,200 (5,500 to 12,700)","0.260 (0.175 to 0.404)","4,200 (2,600 to 6,700)","0.490 (0.302 to 0.790)"
NA,"5,400 (3,200 to 9,300)","0.349 (0.210 to 0.603)","2,800 (1,500 to 4,800)","0.710 (0.398 to 1.244)"
NA,"9,100 (3,300 to 20,500)","0.344 (0.123 to 0.777)","3,700 (1,200 to 8,800)","0.533 (0.178 to 1.257)"
NA,"2,600 (800 to 6,500)","0.272 (0.082 to 0.678)","900 (300 to 2,300)","0.357 (0.104 to 0.902)"
NA,"4,600 (1,800 to 9,900)","0.344 (0.135 to 0.733)","2,300 (800 to 5,600)","0.673 (0.223 to 1.599)"
NA,"2,800 (1,600 to 4,600)","0.147 (0.088 to 0.246)","1,000 (500 to 2,000)","0.196 (0.093 to 0.374)"
NA,"2,000 (1,500 to 2,700)","0.229 (0.171 to 0.305)","1,100 (700 to 1,700)","0.419 (0.265 to 0.633)"
NA,"5,100 (3,400 to 7,300)","0.466 (0.313 to 0.670)","1,200 (500 to 2,200)","0.461 (0.214 to 0.883)"
NA,"1,700 (900 to 3,000)","0.210 (0.108 to 0.376)","500 (200 to 1,100)","0.250 (0.094 to 0.546)"
NA,"4,400 (3,000 to 6,400)","0.290 (0.196 to 0.428)","1,200 (600 to 2,200)","0.334 (0.171 to 0.609)"
NA,"8,300 (6,500 to 10,500)","0.289 (0.227 to 0.364)","1,300 (700 to 2,100)","0.209 (0.120 to 0.338)"
"Total","116,500 (77,600 to 178,200)","5.658 (3.535 to 9.128)","52,500 (30,400 to 88,500)","8.896 (4.693 to 16.107)"
