"Region","Excess Toll (Overall)","Excess Death Rate (Overall)","Excess Toll (Under 5)","Excess Death Rate (Under 5)"
"Awdal","-100 (-1,500 to 1,200)","-0.004 (-0.057 to 0.043)","0 (-400 to 400)","-0.004 (-0.070 to 0.058)"
"Bakool","1,600 (500 to 2,300)","0.119 (0.039 to 0.174)","900 (300 to 1,300)","0.119 (0.087 to 0.322)"
"Banadir","14,100 (12,300 to 15,800)","0.174 (0.152 to 0.195)","10,800 (9,500 to 12,100)","0.174 (0.446 to 0.571)"
"Bari","0 (-700 to 500)","-0.001 (-0.023 to 0.018)","100 (-300 to 400)","-0.001 (-0.041 to 0.054)"
"Bay","10,400 (8,500 to 12,000)","0.360 (0.295 to 0.417)","10,100 (8,500 to 11,400)","0.360 (0.953 to 1.275)"
"Galgaduud","3,100 (1,600 to 4,300)","0.134 (0.067 to 0.187)","1,500 (700 to 2,100)","0.134 (0.117 to 0.374)"
"Gedo","4,200 (2,300 to 5,600)","0.191 (0.105 to 0.254)","2,900 (1,800 to 3,800)","0.191 (0.299 to 0.635)"
"Hiraan","2,200 (400 to 3,400)","0.063 (0.013 to 0.097)","1,200 (400 to 1,800)","0.063 (0.040 to 0.186)"
"LowerJuba","2,900 (700 to 4,400)","0.135 (0.034 to 0.201)","1,900 (1,000 to 2,600)","0.135 (0.187 to 0.463)"
"LowerShabelle","3,000 (-2,300 to 6,300)","0.081 (-0.062 to 0.170)","1,500 (-500 to 2,800)","0.081 (-0.049 to 0.279)"
"MiddleJuba","200 (-1,200 to 1,000)","0.018 (-0.097 to 0.085)","100 (-400 to 300)","0.018 (-0.122 to 0.103)"
"MiddleShabelle","1,600 (-1,000 to 3,400)","0.082 (-0.052 to 0.172)","1,300 (-100 to 2,100)","0.082 (-0.019 to 0.419)"
"Mudug","700 (-100 to 1,300)","0.027 (-0.004 to 0.050)","400 (0 to 700)","0.027 (0.004 to 0.097)"
"Nugaal","-600 (-900 to -300)","-0.044 (-0.069 to -0.022)","-200 (-500 to 0)","-0.044 (-0.113 to 0.001)"
"Sanaag","400 (-700 to 1,400)","0.027 (-0.044 to 0.087)","200 (-200 to 500)","0.027 (-0.059 to 0.138)"
"Sool","0 (-600 to 400)","-0.001 (-0.054 to 0.038)","100 (-200 to 200)","-0.001 (-0.071 to 0.079)"
"Togdheer","200 (-700 to 1,000)","0.011 (-0.030 to 0.043)","100 (-300 to 400)","0.011 (-0.060 to 0.069)"
"WoqooyiGalbeed","0 (-1,000 to 800)","-0.001 (-0.023 to 0.020)","0 (-300 to 300)","-0.001 (-0.030 to 0.032)"
"Total","44,100 (15,900 to 65,000)","NA (NA to NA)","32,800 (18,900 to 43,100)","NA (NA to NA)"
