"Region","Excess Toll (Overall)","Excess Death Rate (Overall)","Excess Toll (Under 5)","Excess Death Rate (Under 5)"
"Awdal","-500 (-600 to -400)","-0.037 (-0.047 to -0.033)","-100 (-100 to 0)","-0.037 (-0.026 to -0.016)"
"Bakool","600 (400 to 1,000)","0.100 (0.058 to 0.152)","400 (200 to 600)","0.100 (0.102 to 0.336)"
"Banadir","4,600 (3,800 to 5,300)","0.124 (0.103 to 0.143)","3,900 (3,000 to 4,700)","0.124 (0.312 to 0.486)"
"Bari","-200 (-200 to -100)","-0.017 (-0.018 to -0.004)","-100 (-100 to 0)","-0.017 (-0.025 to 0.010)"
"Bay","4,600 (4,300 to 4,800)","0.342 (0.321 to 0.355)","4,500 (4,200 to 4,700)","0.342 (1.008 to 1.139)"
"Galgaduud","1,200 (1,000 to 1,400)","0.112 (0.100 to 0.136)","600 (500 to 800)","0.112 (0.181 to 0.307)"
"Gedo","1,900 (1,600 to 2,100)","0.179 (0.149 to 0.199)","1,400 (1,100 to 1,600)","0.179 (0.388 to 0.541)"
"Hiraan","1,100 (800 to 1,300)","0.060 (0.046 to 0.073)","600 (400 to 700)","0.060 (0.077 to 0.150)"
"LowerJuba","1,400 (1,200 to 1,600)","0.146 (0.122 to 0.158)","1,000 (800 to 1,100)","0.146 (0.325 to 0.437)"
"LowerShabelle","1,500 (1,100 to 2,100)","0.090 (0.064 to 0.120)","700 (400 to 1,100)","0.090 (0.097 to 0.230)"
"MiddleJuba","0 (0 to 0)","0.004 (0.005 to 0.006)","0 (0 to 0)","0.004 (0.005 to 0.004)"
"MiddleShabelle","600 (500 to 1,100)","0.072 (0.061 to 0.128)","600 (500 to 800)","0.072 (0.215 to 0.354)"
"Mudug","200 (100 to 400)","0.018 (0.009 to 0.036)","100 (100 to 200)","0.018 (0.034 to 0.074)"
"Nugaal","-300 (-400 to -200)","-0.055 (-0.065 to -0.036)","-200 (-200 to -100)","-0.055 (-0.103 to -0.071)"
"Sanaag","200 (-200 to 200)","0.021 (-0.033 to 0.032)","0 (0 to 100)","0.021 (-0.004 to 0.033)"
"Sool","-100 (-100 to 0)","-0.015 (-0.017 to -0.005)","0 (0 to 0)","-0.015 (-0.008 to 0.012)"
"Togdheer","-200 (-200 to -100)","-0.015 (-0.018 to -0.008)","-100 (-100 to 0)","-0.015 (-0.031 to -0.011)"
"WoqooyiGalbeed","-600 (-700 to -600)","-0.033 (-0.035 to -0.030)","-100 (-100 to -100)","-0.033 (-0.022 to -0.016)"
"Total","16,100 (12,500 to 19,900)","NA (NA to NA)","13,200 (10,700 to 16,100)","NA (NA to NA)"
