"Region","Excess Toll (Overall)","Excess Death Rate (Overall)","Excess Toll (Under 5)","Excess Death Rate (Under 5)"
"Awdal","-600 (-1,200 to -100)","-0.047 (-0.095 to -0.006)","-100 (-300 to 100)","-0.047 (-0.094 to 0.024)"
"Bakool","400 (-100 to 700)","0.058 (-0.013 to 0.106)","200 (0 to 300)","0.058 (-0.006 to 0.176)"
"Banadir","3,800 (3,000 to 4,500)","0.103 (0.082 to 0.123)","3,000 (2,400 to 3,500)","0.103 (0.252 to 0.366)"
"Bari","-200 (-500 to 0)","-0.018 (-0.038 to -0.001)","-100 (-200 to 0)","-0.018 (-0.069 to 0.010)"
"Bay","4,300 (3,500 to 5,000)","0.321 (0.260 to 0.374)","4,200 (3,500 to 4,700)","0.321 (0.854 to 1.138)"
"Galgaduud","1,000 (400 to 1,600)","0.100 (0.037 to 0.149)","500 (100 to 700)","0.100 (0.051 to 0.279)"
"Gedo","1,600 (800 to 2,200)","0.149 (0.072 to 0.208)","1,100 (600 to 1,500)","0.149 (0.217 to 0.518)"
"Hiraan","800 (100 to 1,300)","0.046 (0.003 to 0.075)","400 (0 to 600)","0.046 (0.010 to 0.130)"
"LowerJuba","1,200 (200 to 1,800)","0.122 (0.024 to 0.182)","800 (400 to 1,100)","0.122 (0.173 to 0.428)"
"LowerShabelle","1,100 (-1,300 to 2,600)","0.064 (-0.073 to 0.148)","400 (-400 to 1,000)","0.064 (-0.081 to 0.212)"
"MiddleJuba","0 (-600 to 400)","0.005 (-0.109 to 0.072)","0 (-200 to 100)","0.005 (-0.133 to 0.085)"
"MiddleShabelle","500 (-600 to 1,300)","0.061 (-0.064 to 0.144)","500 (-100 to 900)","0.061 (-0.034 to 0.376)"
"Mudug","100 (-200 to 400)","0.009 (-0.021 to 0.031)","100 (-100 to 200)","0.009 (-0.017 to 0.071)"
"Nugaal","-400 (-500 to -300)","-0.065 (-0.088 to -0.045)","-200 (-300 to -100)","-0.065 (-0.154 to -0.061)"
"Sanaag","-200 (-700 to 100)","-0.033 (-0.095 to 0.017)","0 (-200 to 100)","-0.033 (-0.102 to 0.064)"
"Sool","-100 (-300 to 100)","-0.017 (-0.066 to 0.018)","0 (-100 to 100)","-0.017 (-0.086 to 0.043)"
"Togdheer","-200 (-600 to 100)","-0.018 (-0.055 to 0.011)","-100 (-200 to 0)","-0.018 (-0.095 to 0.016)"
"WoqooyiGalbeed","-700 (-1,000 to -300)","-0.035 (-0.054 to -0.017)","-100 (-200 to 0)","-0.035 (-0.052 to 0.002)"
"Total","12,500 (500 to 21,400)","NA (NA to NA)","10,700 (5,000 to 14,900)","NA (NA to NA)"
