"Region","Excess Toll (Overall)","Excess Death Rate (Overall)","Excess Toll (Under 5)","Excess Death Rate (Under 5)"
"Awdal","-400 (-1,000 to 100)","-0.033 (-0.083 to 0.011)","0 (-200 to 100)","-0.033 (-0.085 to 0.037)"
"Bakool","1,000 (400 to 1,300)","0.152 (0.062 to 0.215)","600 (300 to 800)","0.152 (0.161 to 0.454)"
"Banadir","5,300 (4,400 to 6,100)","0.143 (0.119 to 0.166)","4,700 (4,000 to 5,300)","0.143 (0.412 to 0.551)"
"Bari","-100 (-300 to 200)","-0.004 (-0.026 to 0.014)","0 (-100 to 200)","-0.004 (-0.040 to 0.050)"
"Bay","4,800 (3,900 to 5,500)","0.355 (0.287 to 0.412)","4,700 (3,900 to 5,400)","0.355 (0.951 to 1.295)"
"Galgaduud","1,400 (700 to 2,000)","0.136 (0.067 to 0.191)","800 (400 to 1,100)","0.136 (0.140 to 0.431)"
"Gedo","2,100 (1,200 to 2,900)","0.199 (0.108 to 0.266)","1,600 (900 to 2,000)","0.199 (0.324 to 0.703)"
"Hiraan","1,300 (400 to 1,900)","0.073 (0.023 to 0.107)","700 (300 to 1,000)","0.073 (0.069 to 0.211)"
"LowerJuba","1,600 (500 to 2,200)","0.158 (0.050 to 0.225)","1,100 (600 to 1,400)","0.158 (0.254 to 0.560)"
"LowerShabelle","2,100 (-600 to 3,800)","0.120 (-0.035 to 0.219)","1,100 (0 to 1,700)","0.120 (0.008 to 0.372)"
"MiddleJuba","0 (-600 to 400)","0.006 (-0.106 to 0.070)","0 (-200 to 100)","0.006 (-0.134 to 0.085)"
"MiddleShabelle","1,100 (-200 to 2,000)","0.128 (-0.023 to 0.226)","800 (100 to 1,300)","0.128 (0.054 to 0.543)"
"Mudug","400 (0 to 700)","0.036 (0.003 to 0.061)","200 (100 to 400)","0.036 (0.016 to 0.116)"
"Nugaal","-200 (-300 to -100)","-0.036 (-0.060 to -0.016)","-100 (-200 to -100)","-0.036 (-0.125 to -0.028)"
"Sanaag","200 (-300 to 700)","0.032 (-0.035 to 0.089)","100 (-100 to 200)","0.032 (-0.071 to 0.110)"
"Sool","0 (-300 to 200)","-0.005 (-0.056 to 0.033)","0 (-100 to 100)","-0.005 (-0.074 to 0.068)"
"Togdheer","-100 (-500 to 200)","-0.008 (-0.049 to 0.022)","0 (-200 to 100)","-0.008 (-0.081 to 0.040)"
"WoqooyiGalbeed","-600 (-900 to -200)","-0.030 (-0.050 to -0.012)","-100 (-200 to 0)","-0.030 (-0.046 to 0.008)"
"Total","19,900 (6,300 to 29,900)","NA (NA to NA)","16,100 (9,200 to 21,200)","NA (NA to NA)"
