"Region","Excess Toll (Overall)","Excess Death Rate (Overall)","Excess Toll (Under 5)","Excess Death Rate (Under 5)"
"Awdal","-500 (-1,100 to 100)","-0.037 (-0.087 to 0.005)","-100 (-200 to 100)","-0.037 (-0.085 to 0.032)"
"Bakool","600 (100 to 1,000)","0.100 (0.021 to 0.155)","400 (100 to 600)","0.100 (0.066 to 0.300)"
"Banadir","4,600 (3,700 to 5,300)","0.124 (0.102 to 0.145)","3,900 (3,200 to 4,500)","0.124 (0.336 to 0.466)"
"Bari","-200 (-500 to 0)","-0.017 (-0.037 to 0.000)","-100 (-200 to 100)","-0.017 (-0.065 to 0.016)"
"Bay","4,600 (3,700 to 5,400)","0.342 (0.277 to 0.399)","4,500 (3,800 to 5,100)","0.342 (0.911 to 1.236)"
"Galgaduud","1,200 (500 to 1,700)","0.112 (0.047 to 0.163)","600 (200 to 800)","0.112 (0.079 to 0.326)"
"Gedo","1,900 (1,000 to 2,600)","0.179 (0.093 to 0.245)","1,400 (800 to 1,800)","0.179 (0.277 to 0.613)"
"Hiraan","1,100 (300 to 1,600)","0.060 (0.015 to 0.092)","600 (200 to 800)","0.060 (0.043 to 0.174)"
"LowerJuba","1,400 (400 to 2,100)","0.146 (0.041 to 0.211)","1,000 (500 to 1,300)","0.146 (0.215 to 0.504)"
"LowerShabelle","1,500 (-1,000 to 3,100)","0.090 (-0.057 to 0.181)","700 (-200 to 1,300)","0.090 (-0.045 to 0.279)"
"MiddleJuba","0 (-600 to 400)","0.004 (-0.107 to 0.071)","0 (-200 to 100)","0.004 (-0.133 to 0.088)"
"MiddleShabelle","600 (-500 to 1,400)","0.072 (-0.060 to 0.161)","600 (0 to 1,000)","0.072 (-0.021 to 0.411)"
"Mudug","200 (-100 to 500)","0.018 (-0.012 to 0.041)","100 (0 to 300)","0.018 (-0.007 to 0.083)"
"Nugaal","-300 (-500 to -200)","-0.055 (-0.078 to -0.036)","-200 (-300 to -100)","-0.055 (-0.145 to -0.050)"
"Sanaag","200 (-300 to 600)","0.021 (-0.048 to 0.078)","0 (-100 to 200)","0.021 (-0.079 to 0.100)"
"Sool","-100 (-300 to 100)","-0.015 (-0.064 to 0.021)","0 (-100 to 100)","-0.015 (-0.081 to 0.052)"
"Togdheer","-200 (-500 to 100)","-0.015 (-0.053 to 0.015)","-100 (-200 to 100)","-0.015 (-0.090 to 0.024)"
"WoqooyiGalbeed","-600 (-1,000 to -300)","-0.033 (-0.052 to -0.015)","-100 (-200 to 0)","-0.033 (-0.050 to 0.006)"
"Total","16,100 (3,300 to 25,500)","NA (NA to NA)","13,200 (7,000 to 17,900)","NA (NA to NA)"
