"date","pred","p_time_u5","dr"
2015-01-01,3917.57895050632,99032879,0.395583667774247
2015-02-01,3546.76552934171,89599748,0.395845480429444
2015-03-01,3779.13502322081,99367214,0.380320114763488
2015-04-01,3737.10072862285,96334050,0.38793144569577
2015-05-01,3784.74764854879,99750870,0.379420013935597
2015-06-01,3656.00444308703,96734730,0.377941246446548
2015-07-01,4010.2300884405,100173741,0.400327475884175
2015-08-01,3797.2672896392,100364298,0.378348413261377
2015-09-01,3703.95999360038,97288800,0.380718026494353
2015-10-01,3906.52063842244,100698850,0.387940938592888
2015-11-01,3721.94807477589,97611420,0.38130252328835
2015-12-01,3886.85699775293,101031697,0.384716590255129
2016-01-01,4381.95819779655,110374725,0.397007394382776
2016-02-01,4376.78441415194,99868216,0.438255992692604
2016-03-01,4820.41397084852,110825899,0.434953744056569
2016-04-01,4473.78756369862,107503290,0.416153548761031
2016-05-01,4610.85097130968,111329184,0.414163726495084
2016-06-01,4700.19964022746,107943660,0.435430820135936
2016-07-01,4709.85195934227,111801066,0.421270755982083
2016-08-01,4646.86756272167,111990135,0.41493543719022
2016-09-01,4568.50238490363,108580620,0.420747494801893
2016-10-01,5204.38029415951,112671515,0.461907367994431
2016-11-01,4997.61206967653,109259220,0.457408726666411
2016-12-01,5270.97063845936,112875867,0.466970556111818
2017-01-01,5315.89128236791,113218355,0.469525571394136
2017-02-01,5140.09733531885,102591580,0.501025263020498
2017-03-01,5641.75169430253,114419171,0.493077483868724
2017-04-01,5874.6966391619,110457540,0.531851120273175
2017-05-01,6885.76017184585,114103312,0.603467160694323
2017-06-01,6907.31619511729,110555190,0.624784435277737
2017-07-01,7123.74409495459,114650741,0.621343048707779
2017-08-01,7802.90687578728,114623709,0.68074109133803
2017-09-01,6997.49929365852,111065700,0.630032430683688
2017-10-01,6724.89140236473,114918550,0.585187630923356
2017-11-01,6757.14283222472,111392700,0.606605534494156
2017-12-01,6997.49626865604,115309429,0.60684510619301
2018-01-01,6969.85841116669,115444775,0.603739615861064
2018-02-01,6200.36449566818,104460132,0.593562766670463
2018-03-01,5783.41908090135,115918920,0.498919337835562
2018-04-01,6079.06193873272,112695390,0.539424189288729
2018-05-01,6047.08986124504,116420190,0.51941934309204
2018-06-01,5708.67324406856,112705770,0.506511178981214
2018-07-01,5928.27377767863,116669213,0.508126662145105
2018-08-01,5906.99098138524,116898148,0.505310912315329
2018-09-01,5331.63078082975,113350980,0.470364771511438
2018-10-01,5592.85030488621,117423753,0.476296333748267
2018-11-01,4983.27835172799,113767050,0.438024748969758
2018-12-01,5311.65823537506,117685796,0.45134233832051
2019-01-01,6147.00793220958,117957449,0.521120792652067
2019-02-01,5318.6678015259,106722840,0.498362656159254
2019-03-01,5899.61539460381,118357752,0.498456188539624
2019-04-01,6026.68747637875,114738600,0.5252537050634
2019-05-01,5388.59278864188,118762302,0.453729230395171
2019-06-01,6069.42875112056,115139700,0.527136057425941
2019-07-01,6193.2025091304,119181174,0.519646039829277
2019-08-01,6469.26713017867,119387200,0.541872757731035
2019-09-01,5975.23014397969,115732500,0.516296644760953
2019-10-01,6483.58974049323,119793207,0.541231836333861
2019-11-01,5848.56948659945,116908050,0.500270895511426
2019-12-01,6084.66892221401,121040833,0.50269555912706
2020-01-01,6100.35403235745,119150577,0.511986948444023
2020-02-01,5547.07550839651,107800644,0.514567937868396
2020-03-01,5426.57991884357,119563125,0.453867354072886
2020-04-01,5149.07788531817,115952100,0.444069394630901
2020-05-01,5234.40490660128,121530447,0.430707286594715
