"Region","Excess Toll (Overall)","Excess Death Rate (Overall)","Excess Toll (Under 5)","Excess Death Rate (Under 5)"
"Awdal","-700 (-700 to -700)","-0.019 (-0.018 to -0.018)","-100 (-100 to -100)","-0.010 (-0.010 to -0.011)"
"Bakool","1,500 (1,500 to 1,500)","0.104 (0.104 to 0.103)","900 (900 to 900)","0.202 (0.203 to 0.203)"
"Banadir","12,200 (12,300 to 12,200)","0.122 (0.123 to 0.122)","8,500 (8,500 to 8,400)","0.324 (0.325 to 0.322)"
"Bari","300 (200 to 200)","0.007 (0.007 to 0.007)","300 (300 to 300)","0.035 (0.035 to 0.036)"
"Bay","9,500 (9,500 to 9,500)","0.296 (0.296 to 0.297)","8,200 (8,200 to 8,300)","0.837 (0.835 to 0.837)"
"Galgaduud","2,900 (2,900 to 2,800)","0.106 (0.105 to 0.105)","1,400 (1,400 to 1,400)","0.216 (0.217 to 0.216)"
"Gedo","3,700 (3,700 to 3,700)","0.146 (0.146 to 0.146)","2,400 (2,400 to 2,400)","0.356 (0.357 to 0.356)"
"Hiraan","2,400 (2,300 to 2,300)","0.064 (0.064 to 0.063)","1,100 (1,200 to 1,200)","0.116 (0.117 to 0.118)"
"LowerJuba","2,600 (2,500 to 2,500)","0.091 (0.090 to 0.089)","1,600 (1,600 to 1,600)","0.227 (0.227 to 0.226)"
"LowerShabelle","4,400 (4,400 to 4,300)","0.087 (0.087 to 0.086)","2,200 (2,200 to 2,200)","0.164 (0.164 to 0.163)"
"MiddleJuba","300 (300 to 300)","0.018 (0.018 to 0.017)","100 (100 to 100)","0.023 (0.023 to 0.023)"
"MiddleShabelle","2,000 (2,000 to 2,100)","0.076 (0.074 to 0.077)","1,200 (1,200 to 1,200)","0.175 (0.178 to 0.174)"
"Mudug","800 (700 to 700)","0.022 (0.021 to 0.022)","500 (500 to 500)","0.053 (0.053 to 0.053)"
"Nugaal","-300 (-200 to -300)","-0.018 (-0.017 to -0.018)","0 (0 to 0)","0.004 (0.003 to 0.004)"
"Sanaag","100 (100 to 100)","0.004 (0.005 to 0.004)","200 (200 to 200)","0.037 (0.038 to 0.039)"
"Sool","100 (100 to 100)","0.008 (0.009 to 0.008)","100 (100 to 100)","0.032 (0.032 to 0.031)"
"Togdheer","-700 (-700 to -600)","-0.023 (-0.024 to -0.023)","-200 (-200 to -200)","-0.026 (-0.026 to -0.026)"
"WoqooyiGalbeed","-200 (-200 to -200)","-0.004 (-0.004 to -0.004)","0 (0 to 0)","-0.003 (-0.004 to -0.003)"
"Total","40,900 (40,900 to 40,700)","NA (NA to NA)","28,600 (28,700 to 28,600)","NA (NA to NA)"
