"Region","Excess Toll (Overall)","Excess Death Rate (Overall)","Excess Toll (Under 5)","Excess Death Rate (Under 5)"
"Awdal","-1,600 (-2,300 to -900)","-0.099 (-0.145 to -0.059)","-100 (-400 to 100)","-0.039 (-0.109 to 0.014)"
"Bakool","0 (-500 to 300)","-0.004 (-0.064 to 0.038)","0 (-200 to 200)","0.009 (-0.084 to 0.072)"
"Banadir","-2,000 (-3,400 to -600)","-0.042 (-0.074 to -0.013)","1,800 (300 to 3,100)","0.149 (0.026 to 0.260)"
"Bari","-100 (-500 to 200)","-0.008 (-0.032 to 0.011)","200 (-100 to 500)","0.051 (-0.014 to 0.103)"
"Bay","600 (-200 to 1,300)","0.031 (-0.012 to 0.069)","1,600 (900 to 2,300)","0.283 (0.159 to 0.387)"
"Galgaduud","-100 (-800 to 500)","-0.005 (-0.059 to 0.037)","200 (-200 to 500)","0.056 (-0.069 to 0.149)"
"Gedo","-700 (-1,700 to 100)","-0.041 (-0.097 to 0.003)","100 (-500 to 500)","0.015 (-0.105 to 0.106)"
"Hiraan","-800 (-1,900 to 0)","-0.027 (-0.065 to 0.001)","-200 (-800 to 300)","-0.023 (-0.104 to 0.036)"
"LowerJuba","-500 (-1,300 to 100)","-0.034 (-0.098 to 0.009)","200 (-200 to 500)","0.061 (-0.060 to 0.147)"
"LowerShabelle","-300 (-2,800 to 1,300)","-0.015 (-0.125 to 0.056)","300 (-700 to 1,000)","0.052 (-0.120 to 0.161)"
"MiddleJuba","-100 (-1,000 to 400)","-0.018 (-0.121 to 0.044)","-100 (-400 to 100)","-0.038 (-0.166 to 0.039)"
"MiddleShabelle","-300 (-1,500 to 600)","-0.022 (-0.128 to 0.049)","300 (-400 to 700)","0.100 (-0.124 to 0.243)"
"Mudug","-100 (-600 to 200)","-0.008 (-0.037 to 0.013)","100 (-200 to 200)","0.011 (-0.040 to 0.047)"
"Nugaal","-200 (-400 to 0)","-0.026 (-0.051 to -0.005)","0 (-100 to 100)","0.008 (-0.058 to 0.062)"
"Sanaag","-200 (-800 to 300)","-0.020 (-0.086 to 0.035)","100 (-100 to 300)","0.062 (-0.063 to 0.154)"
"Sool","-200 (-500 to 0)","-0.032 (-0.079 to 0.004)","-100 (-200 to 0)","-0.038 (-0.115 to 0.013)"
"Togdheer","-300 (-900 to 100)","-0.026 (-0.069 to 0.008)","0 (-300 to 100)","-0.013 (-0.095 to 0.046)"
"WoqooyiGalbeed","-1,300 (-1,900 to -700)","-0.052 (-0.077 to -0.030)","-100 (-300 to 100)","-0.010 (-0.050 to 0.021)"
"Total","-8,200 (-23,100 to 3,000)","NA (NA to NA)","4,400 (-3,800 to 10,600)","NA (NA to NA)"
