"Region","Excess Toll (Overall)","Excess Death Rate (Overall)","Excess Toll (Under 5)","Excess Death Rate (Under 5)"
"Awdal","-700 (-2,500 to 1,000)","-0.018 (-0.070 to 0.027)","-100 (-700 to 300)","-0.011 (-0.081 to 0.041)"
"Bakool","1,500 (400 to 2,300)","0.103 (0.024 to 0.157)","900 (300 to 1,400)","0.203 (0.071 to 0.294)"
"Banadir","12,200 (10,100 to 14,300)","0.122 (0.101 to 0.143)","8,400 (6,800 to 9,900)","0.322 (0.260 to 0.380)"
"Bari","200 (-600 to 1,000)","0.007 (-0.017 to 0.027)","300 (-200 to 800)","0.036 (-0.021 to 0.080)"
"Bay","9,500 (7,900 to 10,900)","0.297 (0.247 to 0.340)","8,300 (7,000 to 9,300)","0.837 (0.715 to 0.942)"
"Galgaduud","2,800 (1,000 to 4,300)","0.105 (0.037 to 0.158)","1,400 (500 to 2,100)","0.216 (0.070 to 0.323)"
"Gedo","3,700 (1,500 to 5,200)","0.146 (0.061 to 0.207)","2,400 (1,200 to 3,200)","0.356 (0.184 to 0.483)"
"Hiraan","2,300 (400 to 3,600)","0.063 (0.011 to 0.098)","1,200 (400 to 1,700)","0.118 (0.037 to 0.177)"
"LowerJuba","2,500 (-100 to 4,200)","0.089 (-0.003 to 0.149)","1,600 (600 to 2,300)","0.226 (0.085 to 0.321)"
"LowerShabelle","4,300 (-2,900 to 8,900)","0.086 (-0.058 to 0.176)","2,200 (-500 to 3,900)","0.163 (-0.040 to 0.289)"
"MiddleJuba","300 (-1,600 to 1,400)","0.017 (-0.101 to 0.086)","100 (-500 to 500)","0.023 (-0.124 to 0.111)"
"MiddleShabelle","2,100 (-1,500 to 4,500)","0.077 (-0.058 to 0.166)","1,200 (-400 to 2,200)","0.174 (-0.063 to 0.321)"
"Mudug","700 (-400 to 1,600)","0.022 (-0.011 to 0.046)","500 (0 to 900)","0.053 (-0.003 to 0.093)"
"Nugaal","-300 (-700 to 100)","-0.018 (-0.046 to 0.006)","0 (-300 to 300)","0.004 (-0.066 to 0.061)"
"Sanaag","100 (-1,400 to 1,300)","0.004 (-0.065 to 0.063)","200 (-400 to 600)","0.039 (-0.074 to 0.120)"
"Sool","100 (-700 to 700)","0.008 (-0.044 to 0.048)","100 (-200 to 400)","0.031 (-0.060 to 0.089)"
"Togdheer","-600 (-1,700 to 200)","-0.023 (-0.062 to 0.007)","-200 (-600 to 100)","-0.026 (-0.093 to 0.022)"
"WoqooyiGalbeed","-200 (-1,500 to 900)","-0.004 (-0.027 to 0.016)","0 (-500 to 300)","-0.003 (-0.037 to 0.024)"
"Total","40,700 (5,700 to 66,400)","NA (NA to NA)","28,600 (12,400 to 40,300)","NA (NA to NA)"
