"Region","Excess Toll (Overall)","Excess Death Rate (Overall)","Excess Toll (Under 5)","Excess Death Rate (Under 5)"
"Awdal","-1,500 (-2,300 to -900)","-0.097 (-0.143 to -0.057)","-100 (-400 to 100)","-0.034 (-0.106 to 0.017)"
"Bakool","0 (-500 to 300)","0.001 (-0.059 to 0.041)","100 (-200 to 200)","0.028 (-0.072 to 0.096)"
"Banadir","-1,800 (-3,200 to -400)","-0.038 (-0.070 to -0.009)","2,100 (600 to 3,500)","0.177 (0.049 to 0.288)"
"Bari","-100 (-500 to 200)","-0.008 (-0.031 to 0.012)","200 (0 to 500)","0.056 (-0.010 to 0.109)"
"Bay","700 (-100 to 1,400)","0.038 (-0.008 to 0.076)","1,900 (1,200 to 2,500)","0.331 (0.201 to 0.436)"
"Galgaduud","0 (-800 to 500)","-0.003 (-0.057 to 0.039)","200 (-200 to 500)","0.063 (-0.064 to 0.156)"
"Gedo","-700 (-1,700 to 100)","-0.038 (-0.095 to 0.004)","200 (-400 to 600)","0.039 (-0.088 to 0.131)"
"Hiraan","-700 (-1,800 to 200)","-0.023 (-0.062 to 0.006)","-100 (-800 to 400)","-0.013 (-0.100 to 0.051)"
"LowerJuba","-400 (-1,300 to 200)","-0.030 (-0.095 to 0.014)","300 (-100 to 600)","0.090 (-0.040 to 0.183)"
"LowerShabelle","-200 (-2,800 to 1,400)","-0.010 (-0.121 to 0.062)","400 (-700 to 1,100)","0.068 (-0.113 to 0.181)"
"MiddleJuba","-100 (-1,000 to 400)","-0.014 (-0.120 to 0.050)","-100 (-300 to 100)","-0.026 (-0.159 to 0.057)"
"MiddleShabelle","-200 (-1,400 to 600)","-0.019 (-0.125 to 0.053)","400 (-300 to 800)","0.120 (-0.115 to 0.272)"
"Mudug","-100 (-600 to 200)","-0.007 (-0.036 to 0.015)","100 (-200 to 200)","0.015 (-0.037 to 0.052)"
"Nugaal","-200 (-400 to 0)","-0.025 (-0.050 to -0.003)","0 (-100 to 200)","0.015 (-0.053 to 0.073)"
"Sanaag","-200 (-800 to 300)","-0.018 (-0.085 to 0.036)","100 (-100 to 300)","0.069 (-0.059 to 0.160)"
"Sool","-200 (-500 to 100)","-0.027 (-0.076 to 0.009)","0 (-200 to 100)","-0.023 (-0.106 to 0.032)"
"Togdheer","-100 (-600 to 400)","-0.006 (-0.051 to 0.030)","100 (-200 to 300)","0.022 (-0.066 to 0.086)"
"WoqooyiGalbeed","-800 (-1,400 to -200)","-0.033 (-0.059 to -0.009)","100 (-200 to 200)","0.010 (-0.034 to 0.045)"
"Total","-6,600 (-21,700 to 4,800)","NA (NA to NA)","5,900 (-2,800 to 12,200)","NA (NA to NA)"
