"district","time_unit","cdi_lag5_scn","measles_cases_rate","sam_admissions_rate_lag1_scn","malaria_cases_rate","acled_event_rate","water_price_smooth_lag2_scn","tot_wage_cereal_smooth_lag3_scn","dep_rate_sqt_scn","prop_idp_scn","cdi_scn","pop_average","pop_average_u5","year","month","date","region","malaria_cases_rate_cat","measles_cases_rate_cat"
"Adan Yabaal",103,0.333850931677019,0,0.186234641921128,0,0,0.0808266571206915,0.0247388955102319,0.658861299317085,0.107126366282229,0.110248447204969,85318,22175,2021,7,2021-07-01,"Middle Shabelle","0","0"
"Adan Yabaal",108,0.110248447204969,0,0.184722950565665,0,0,0.087399255032613,0.0233934259795531,1,0.109530216486805,0.0263975155279503,85956,22341,2021,12,2021-12-01,"Middle Shabelle","0","0"
"Adan Yabaal",113,0.0263975155279503,0,0.183571578135469,0,0,0.0977972383834273,0.0257760480232502,1,0.11717437721489,0.0760869565217391,86561,22619,2022,5,2022-05-01,"Middle Shabelle","0","0"
"Adan Yabaal",65,0.111801242236025,0,0.198219782957291,0,0,0.0806181826959067,0.0157241494175979,0,0.12720208755564,0.299689440993789,80181,21166,2018,5,2018-05-01,"Middle Shabelle","0","0"
"Adan Yabaal",46,0.0590062111801242,0,0.202250836622397,0,0,0.0580252997557386,0.00145188694640643,1,0.153173172027016,0.0590062111801242,78469,20710,2016,10,2016-10-01,"Middle Shabelle","0","0"
"Adan Yabaal",95,0.22360248447205,0,0.188653575672225,0,0,0.0812301171253262,0.0271737237858037,0,0.106607838840057,0.361801242236025,84234,21926,2020,11,2020-11-01,"Middle Shabelle","0","0"
"Adan Yabaal",29,0.149068322981366,0,0.20610999718071,0,0,0.0627352160462079,0.0078881776113994,0,0,0.170807453416149,77108,18709,2015,5,2015-05-01,"Middle Shabelle","0","0"
"Adan Yabaal",117,0.0341614906832298,0,0.182598728176052,0,1.14913470156972,0.109526187265594,0.0254832619468179,1,0.122441905820673,0.127329192546584,87022,22739,2022,9,2022-09-01,"Middle Shabelle","0","0"
"Adan Yabaal",58,0.0403726708074534,0,0.20039637861119,0,0,0.0814054405706773,0.018635762351865,0,0.135059366444171,0.0838509316770186,79319,20956,2017,10,2017-10-01,"Middle Shabelle","0","0"
"Adan Yabaal",128,0.122670807453416,0,0.0667342304108618,0,4.54162291801746,0.111093155200383,0.018831936144537,1,0.261478629718029,0.178571428571429,66481,17363,2023,8,2023-08-01,"Middle Shabelle","0","0"
"Adan Yabaal",89,0.484472049689441,0,0.190640739663837,0,1.19963051380175,0.0806214936688864,0.0298319401096958,0,0.108747992846567,0.222049689440994,83359,21699,2020,5,2020-05-01,"Middle Shabelle","0","0"
"Adan Yabaal",59,0.0450310559006211,0,0.200023986545985,0,0,0.0811250726444842,0.018931833769215,1,0.133884694960725,0.107142857142857,79464,20994,2017,11,2017-11-01,"Middle Shabelle","0","0"
"Adan Yabaal",66,0.105590062111801,0,0.197867779319131,0,0,0.0806308024012569,0.0148292087447584,0.999546295349808,0.126169859204583,0.27639751552795,80318,21202,2018,6,2018-06-01,"Middle Shabelle","0","0"
"Adan Yabaal",86,0.177018633540373,0,0.191663990216298,0,1.20602530241084,0.0806415848174528,0.0261427867397681,0,0.11059545190467,0.580745341614907,82917,21583,2020,2,2020-02-01,"Middle Shabelle","0","0"
"Adan Yabaal",82,0.161490683229814,0,0.193034492764395,0,0,0.0806516715576123,0.0114444214226402,0.724735346981179,0.113266208550791,0.335403726708075,82325,21768,2019,10,2019-10-01,"Middle Shabelle","0","0"
